Spanish,Portuguese,Meaning
align=left Ella le dio un libro.,align=leftEla deu-lhe um livro.Ela lhe deu um livro.,align=left She gave him/her a book.
align=left Dígame dónde ha estado.  Dime dónde has estado.,align=leftDiga-me por onde esteve.Diz-me onde estiveste.Me diga por onde esteve.Me diz onde estiveste.,align=left Tell me where youve been.
align=left Tómame una foto.,align=leftTira-me uma foto.  Me tira uma foto.,align=left Take a picture for me.
align=left Quería verte.Te quería ver.,align=leftQueria ver-te.Queria te ver.Te queria ver.,align=left I wanted to see you.
align=left No te he conseguido ver.No he conseguido verte.No conseguí verte.,align=leftNão consegui ver-te.Não consegui te ver.Não te consegui ver.,align=left I didnt manage to see you.
