Name,View functions,Other functions,License
"! scope="row"  ACDSee"," Thumbnails (user-defined sizes), fullscreen, slideshow, zoom, fit, view Exif info, view inside ZIP archives, ..."," Resize, crop, rotate, flip, JPEG lossless rotate/mirror, face recognition, adjust exposure and colors etc., filters (sharpen, blur, average, emboss), red eye removal, batch rename, edit Exif info",Proprietary
"! scope="row"  Adobe Bridge"," Thumbnails, slideshow, filmstrip, preview, versions with alternates"," Stand Alone: rotate, rename, delete, move, copy, batch rename, add/Edit HDR, PDF presentation, Photomerge, Web picture gallery",Proprietary
"! scope="row"  Adobe Photoshop Lightroom"," Library organization, RAW and JPEG editing, slideshow tools, print layout and preferences, web gallery creation and uploading",,Proprietary
"! scope="row"  Aperture",,,Proprietary
"! scope="row"  CDisplay"," Fit to window, zoom, print, full-screen, slideshow, image collection, image information..."," Rotate, flip, save as, used for reading comics and manga.",Proprietary
"! scope="row"  Comix"," Fit to window, zoom, rotate, full-screen, image collection, image information..."," Manga mode, double page view",GPL
"! scope="row"  digiKam"," Fit to window, zoom, pan, Light Table, Slideshow+Effects, OpenGL viewer"," Rotate, crop, vertical/horizontal flip, lossless JPEG operations (90° steps), color management, 16bit color depth, Light Table, IPTC, XMP, GPS metadata, adjust colors/brightness/levels, elaborate Black and White conversion, automatic lens correction, anti-vignetting, sharpening tools, vibrance, many filters, face recognition, Batch operations, export to archive, HTML, flickr, gallery2, picasaweb, smugmug, iPod, Facebook, 23hq, flash.",GPL
"! scope="row"  Eye of GNOME"," Fit to window, zoom, flip, rotate, full-screen, slideshow, image collection, image information"," Delete, print, save, rename, set wallpaper",GPL
"! scope="row"  FastPictureViewer"," Borderless full-screen kiosk mode, Fit-to-window, 1:1, 50% to 6400% magnifier, multicore-enabled, GPU-based panning/zooming, black  ; white preview and lost shadows/highlights view."," File renaming. Single-click background copy/move to preset location, single-click rating/labeling (writes Adobe XMP sidecar files and/or embeds XMP metadata within JPEG/TIFF/HD Photo/JPEG XR), Windows rating, R,G,B histogram in translucent floating window. IPTC metadata editor in the registered version.",Proprietary
"! scope="row"  FastStone Image Viewer"," All major formats, thumbnail view (6 predefined sizes), full screen, magnifier, slideshow. Uses second monitor for fullscreen preview. Popups image galery, detailed image informations, editing options at the image border in fullscreen modus."," Many editing features: rotate, move, rename, 150+ transitional effects, crop, resize, clone, heal, convert format, color adjust, sharpen, drop shadow effects, scanner support, histogram",Proprietary
"! scope="row"  F-Spot"," Full-screen, slideshow, zoom, multiple sizes of thumbnails. Export: HTML, Flickr, Gallery Project, Picasa, Facebook (via extension) and O.r.i.g.i.n.a.l"," Tags, rotate in single degree increments, hue, contrast, white balance, colour, sharpen, soft focus, crop, auto red-eye reduction. Files stored at /user/Pictures/Photos/[year]/[month]/[day]",GPL
"! scope="row"  Geeqie"," Full-screen, slideshow, zoom, color spectrum, 14 sizes of thumbnails"," Rotate, move, rename, hue, contrast, find/remove duplicates",GPL
"! scope="row"  Gonvisor"," Fit to window, zoom, print, full-screen, slideshow, image collection, image information, view images in compressed ZIP, RAR, or 7z files."," Rotate, flip, save as, used for reading comics and manga",Proprietary
"! scope="row"  GraphicConverter"," Full-screen, slideshow"," Rotate, move, rename",Proprietary
"! scope="row"  gThumb"," Full-screen, slideshow, zoom, color spectrum, three sizes of thumbnails"," Rotate, move, rename, hue, contrast",GPL
"! scope="row"  Gwenview"," Fullscreen, slideshow, zoom, rotate, adjust gamma/contrast/brightness, disk navigator, file tree, thumbnails, extended thumbnails, bookmarks..."," Add border, filter, effects, resize, rename, raw image converter, recompress, edit color. Share using 23, Dropbox, Facebook, Flickr, Google drive, Google photos/Picasaweb, Imageshack, Imgur, Piwigo, Rajce.net, remote storage, SmugMug, Yandex.Fotki, Zooomr",GPL
"! scope="row"  iPhoto"," Thumbnails, fullscreen, slideshow, camera information, search, tags, organize by event or album, auto organize by date during first import"," Lossless JPEG rotate, Cropping (custom and template), Brightness/Contrast, Red-eye, Retouch, Color Enhancement, B ;W and Sepia Conversion, Export to multiple format  ; size",Proprietary
"! scope="row"  IrfanView"," Thumbnails (18 pre-defined sizes from 50×50–800×800 pixels), fullscreen, slideshow, zoom, fit (several options), view IPTC and Exif info, hex view, histogram (also RGB); Format detection with offer to rename, set wallpaper, EXE/SCR creation, Burn slideshow to CD; directory tree 32 languages (version 4.28/4.30)"," Add Text, Crop, Cut/Copy selected area, Paste-Into selected area, paste from PrintScreen, Resize/Resample, Rotate, Flip Vert/Horiz, JPEG lossless transformations, Color Adjustments, change color depth, Greyscale, Red-Eye Reduction, Sharpen, effects/filters, Own and 8bf (Photoshop) plugins compatibility, insert text, edit IPTC info, Move, Copy, Delete, Rename, Convert, batch conversion, batch renaming/resizing/cropping, panorama creation, send email via IrfanView Thumbnails/Plugins: contact sheet creation, thumbnail creation, web gallery creation, face detection",Freeware for  Non commercial
"! scope="row"  KSquirrel"," disk navigator, file tree, thumbnails, bookmarks, fullscreen, KIPI plugins"," resize, rotate, colorize, convert, print",GPL
"! scope="row"  KPhotoAlbum"," Zoom, Rotate, Metadata, Exif, thumbnails (customize size), slideshow, Categories",As Available per KIPI plugins,GPL
"! scope="row"  Lphoto"," Zoom, Slideshow, camera information"," Crop, redeye, color tweaking, auto attach and resize for email, export to HTML, export to CD",GPL
"! scope="row"  Microsoft Photos"," fullscreen, slideshow, fit, zoom, print",,proprietary
"! scope="row"  Phase One Media Pro"," Thumbnails, Slideshow, Zoom, Print, Light Table, Library organization, best practice DAM"," Rotate, rename, delete, batch rename, Add/Edit Metadata (IPTC, EXIF, Custom), Free Reader App to distribute catalogs",Proprietary
"! scope="row"  Paint.net"," Thumbnail, Zoom, Rotation, Multiple Page support, Pan, Fit to screen"," Resize, Crop, Copy, Paste, Black and white/sepia, various blurs, add and reduce noise, Plugin Support",(Creative Commons Non commercial CC-BY-NC)
"! scope="row"  Apple Photos",,,Proprietary
"! scope="row"  Picasa"," Zoom, lossless rotate, histogram, camera information, Thumbnails (fully adjustable), Slide Show (Full Screen w/zoom), Magnifier, Search, Search for faces"," Crop, straighten, redeye, color tweaking, retouch, tuning, add text, numerous effects, batch edit, batch rename, video rendering, HTML gallery creation, photo browser application creator, screensaver, face recognition, keyword tagging, geo-tagging, photo collage, original file preservation, reorganize storage",Proprietary
"! scope="row"  Preview"," Zoom, rotate, metadata"," Crop, straighten, color tweaking, profile assignment",Proprietary
"! scope="row"  Shotwell"," Thumbnails, Fullscreen, Slideshow, Zoom, Print, Camera Information, Events"," Auto Enhance, Rotate, Mirror, Flip, Red Eye, Crop, Exposure, Saturation, Tint, Temperature, Shadows, Revert to Original, Rename, Straighten, Change Time/Date, Publish to Facebook, Picasa Web Albums, Flickr",LGPL
"! scope="row"  Simple Comic"," Slideshow, double image layout, left-to-right  ; right-to-left ordering, thumbnail navigation, zoom, print"," Finder icons, text notes, delete files, extract files",MIT
