,MySQL,PostgreSQL,MSSQL,Oracle,SQLite,Firebird,Flat file
bbPress,yes,no,no,no,no,no,no
Beehive Forum,yes,no,no,no,no,no,no
Discourse,no,yes,no,no,no,no,no
Discuz!,yes,yes,no,no,no,no,no
FluxBB,yes,yes,no,no,SQLite 2,no,no
FUDforum,yes,yes,yes,yes,yes,yes,no
Iko,yes,no,no,no,no,no,no
Ikonboard,yes,yes,no,yes,no,no,yes
Invision Power Board,yes,no,Discontinued,no,no,no,no
kusaba,yes,no,no,no,no,no,no
MyBB,yes,yes,no,no,yes,no,no
Phorum,yes,no,no,no,no,no,no
phpBB,yes,yes,yes,Discontinued,no
PunBB,yes,yes,no,no,yes,no,no
Simple Machines Forum,yes,yes,no,no,yes,no,no
Syndie,yes (HSQLDB),no,no,no,no,no,no
Thredded,yes,yes,no,no,yes,no,no
Vanilla Forums,yes,no,no,no,no,no,no
vBulletin,yes,no,no,no,no,no,no
XenForo,yes,no,no,no,no,no,no
