,Trident,Tasman,Gecko,WebKit,KHTML,Presto,Prince XML
MathML,no,no,1.0,no,no,2.1,6.0
SVG,5.0,,1.8,522,3.2,1.0,{{yes|5.1}}
XForms,no,,no,no,no,no,?
VoiceXML,,,no,no,,{{yes|1.0}},{{no}}
