Agency,Country,Budget  (in millions of US $),Year,Ref(s)
China National Space Administration,CHN,11000,2018,
Indian Space Research Organisation,IND,1760,2020,
Japanese Aerospace Exploration Agency,JPN,1710,2017,
Korean Aerospace Research Institute,ROK,583,2016,
Iranian Space Agency and Iranian Space Research Center,IRI,393,2018,
National Institute of Aeronautics and Space,IDN,55,2019,
Space and Upper Atmosphere Research Commission,PAK,43,2019,
Philippine Space Agency,PHL,38,2019,
Israel Space Agency,ISR,14.5,2019,
Turkish Space Agency,TUR,4.3,2019,
