",R-/R+ tree,Hash,Expression,Partial,Reverse,Bitmap,GiST,GIN,Full-text,Spatial,FOT,Duplicate index prevention
"!,dunno,",dunno,dunno,dunno,dunno,dunno,dunno,yes,dunno,dunno,no
"!,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,no
"!,no,no,yes,no,yes,no,no,no,yes,dunno,dunno,no
"!,no,no,yes,no,yes,yes,no,no,yes,dunno,dunno,no
"!,no,no,no,no,no,no,no,no,no,dunno,dunno,no
"!,no,yes,no,no,no,no,no,no,no,no,dunno,no
"!,no,no,yes," yes",yes,no,no,no,no,no,no,no
"!,Yes,Yes,yes,no,yes,yes,no,no,yes,dunno,dunno,no
"!,yes,no,no,yes,no,yes,no,no,no,dunno,dunno,no
"!,no,yes,no,no,no,no,no,no,no,dunno,dunno,no
"!,no,no,yes,no,yes,no,no,no,no,dunno,dunno,no
"!,no,no,no,no,no,no,no,no,no,dunno,dunno,no
"!,no,yes,no,no,no,no,no,no,yes,yes,dunno,no
"!,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
"!,yes,yes,Ingres v10,no,no,Ingres v10,no,no,no,dunno,dunno,no
"!,no,no,no,no,no,no,no,no,no,dunno,dunno,no
"!,no,yes temporary indexes for equality joins,yes for some scalar functions like LOWER and UPPER,no,no,no,no,no,yes,no,no,yes
"!,no,no,no,no,no,yes,no,no,no,dunno,dunno,no
"!,",",",no,no,no,no,no,yes,",dunno,no
"!,no,no,no,no,no,no,no,no,no,dunno,dunno,no
"!,no,no,no,no,no,no,no,no,no,dunno,dunno,no
"!,no,no,yes,yes," yes2",yes,no,no,no,dunno,dunno,no
"!,"," yes4"," yes3",yes,",",no,no,yes,yes,dunno,no
"!,no,no,no,no,no,no,no,no,no,dunno,dunno,no
"!,no,no,no,no,yes,no,no,no,yes,yes,no,no
"!,no,yes,no,no,no,yes,no,no,no,no,no,no
"!,",publisher   = Oracle,series      = MySQL,url         = https://dev.mysql.com/doc/refman/5.7/en/create-index.html#create-index-storage-engine-index-types,title       = Index Types Per Storage Engine,access-date = 24 September 2017
,",no,no,no,no,no,no,",",dunno,no
"!,yes,",yes,yes,no,yes,no,no,yes,yes (Commercial only),no,no
"!," yes 11",",yes," yes 6",yes,yes,no,no,yes,yes,dunno,yes
"!,No,Yes,dunno,No,No,dunno,No,No,dunno,dunno,dunno,no
"!,no,no,no,no,no,no,no,no,no,no,no,no
"!,no,yes,no,no,no,no,no,no,no,no,dunno,no
"!,yes,yes,yes,yes," yes7",yes,yes,yes,yes,",dunno,no
"!,yes,yes,no,yes,yes,no,no,no,no,yes,no,no
"!,no,no,no,yes,yes,no,no,no,no,no,no,no
"!,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,no
"!,no,no,no,no,yes,no,no,no,no,no,no,no
"!,no,no,yes,no,no,no,no,no,yes,yes,dunno,yes
"!,yes,no,yes,yes,no,no,no,no,yes,",dunno,no
"!,dunno,dunno,dunno,dunno,yes,dunno,dunno,dunno,dunno,dunno,dunno,no
"!,no,yes,yes,yes,no,yes,no,no,dunno,dunno,dunno,no
"!,yes,yes," yes3"," yes3"," yes3",no,no,no,dunno,yes,dunno,no
,R-/R+ tree,Hash,Expression,Partial,Reverse,Bitmap,GiST,GIN,Full-text,Spatial,FOT,Duplicate index prevention
