Name,Manufacturer,Release,Size,Type,Capacity (GB),Storage,External,Dimensions (mm × mm),"   Depth (mm)","   Weight (g)",Firmware
Archos 105,Archos,2007-08-31,,DAP," 0002 2",Flash,SDHC,85 × 45,7,50,1.6.07
Archos 405,Archos,2007-09-01,Mini,PMP," 0002 2",Flash,SDHC
Archos 405,Archos,2008-02-07,Mini,PMP," 0030 30",HDD,,100 × 78,15,191," 1.8.03"
Archos 5,Archos,2008-08-19,Mid,PMP," 0500 120/500",HDD,8–32 GB and Micro SD Slot (SDHC compatible),127 × 78.8,19.4,300,1.6.53
GPS,Archos,2007-09-01,Mid,PMP," 0004 4",Flash,SDHC
GPS,Archos," 2007-09-01",Mid,PMP," 0160 30/80/160",HDD,,4.8×3.2inmmabbr=ondisp=output number only,0.6inmmdisp=output number only,6.7ozgdisp=output number only," 1.8.03"
Archos 705 WiFi,Archos,2007-11-27,Mega,PMP," 0160 80/160",HDD,,182 × 128,19.69,630,1.8.03
Cowon A3,Cowon,2007-11-14,Mid,PMP," 0080 30/60/80",HDD,,133.4 × 78.5,22,280,1.24
Cowon D2,Cowon,2006-12-05,Micro,PMP," 0016 2/4/8/16",Flash,SDHC
Cowon Q5W,Cowon,2007-11-30,Mid,PMP," 0080 40/60/80",HDD,,138.8 × 88.5,20,380,1.5
Cowon O2PMP,Cowon,,Mid,PMP," 0032 8/16/32",Flash,,4.70×2.89inmmdisp=output number onlyabbr=on,0.70inmmdisp=output number only,7.23ozgdisp=output number only,
Gigabeat T-Series,Toshiba,2007-09-25,Micro,PMP fack," 0004 4",Flash,,2.13 × 3.38,0.58inmmdisp=output number only,58.11,No release
GP2X F-200,GamePark Holdings,2007-10-28,Mid," PMP, HGC"," 0064 64",,SDHC
iPod,Apple,2001,,,,,,,,,
iPod classic 6G,Apple,2007-09-07,Mini,DAP," 0160 160",HDD,,4.1×2.4inmmabbr=ondisp=output number only,0.41inmmdisp=output number only,4.9ozgdisp=output number only,1.1.2
iPod nano 6G,Apple,2010-09-08,Micro,DAP," 0016 8/16",Flash,,1.48×1.61inmmabbr=ondisp=output number only,0.35inmmdisp=output number only,0.74ozgdisp=output number only,1.2
iPod touch 5G,Apple,2012-10-09,Mini,PMP," 0064 32/64",Flash,,123.4 x 58.6,6.1,88,9.0
iriver clix 2G,ReignCom,2007-04-24,Micro,PMP," 0008 2/4/8",Flash,,3.16×1.84inmmabbr=ondisp=output number only,0.32–0.5inmmdisp=output number only,1.9ozgdisp=output number only,1.07
PSP Slim  ; Lite,Sony,2007-08-30,Mid," PMP, HGC"," 0064 64",,Memory Stick,6.7×2.9inmmabbr=ondisp=output number only,0.71inmmdisp=output number only,6.67ozgdisp=output number only,6.10
Rio PMP300,Diamond Multimedia,1998-09-15,Mid,DAP,0.032,Flash,SmartMedia,89x63,16,,
Samsung Galaxy Player 4.0  ; 5.0,Samsung,2011-10-16,Mid,PMP," 0008 8/16",Flash,microSDHC," 123.7 x 64.2 (4.0), 141.3 x 78.2 (5.0)"," 9.9 (4.0), 11.9 (5.0)"," 121 (4.0), 182 (5.0)",2.3.5
Samsung T10,Samsung,2007-09,,DAP," 0008 2/4/8",Flash,,96 × 41.4,7.9,43,3.06
