,Creator,Latest stable version,Release date,OS,Software license,Open source,Programming language,Plugin support
9menu,Arnold Robbins,1.8,20040601,Linux,GPL,yes,C,no
Avant Window Navigator,Neil J. Patel,0.4.2,20131127,Linux,GPL,yes,C,yes
dmenu,dwm developers,4.5,20111219,Linux,MIT License,yes,C,no
GNOME Do,GNOME Do Developers,0.95.1,20140123,Linux,GPL,yes,C#,yes
LXPanel,LXDE Developers,0.10.0," February 26, 2019",Linux,GPL,yes,C,yes
Katapult,TDE Developers,R14.0.6,20190305,TDE,GPL,yes,C++,yes
rofi,Dave Davenport,1.5.4,20191026,Linux,MIT/X11 License,yes,C,no
Unity Dash,Canonical Ltd.,7.3.0,20140619,Ubuntu,GPLv3,yes,Vala,yes ("lenses" and "scopes")
