Nation,Multi-satellite simultaneous launches,Launch of foreign satellite,Geostationary launches,Atmos-pheric reentry,Rendezvous dockings in orbit,Satellite navigation system,Data relay satellites,Martian missions,Solar Space Missions,Space observatories
scope="row"  CHN,1981(FB-1)3 Sats,1990CZ-2EPAK science satellite,1984CZ-3),1975FSW-0,2011Tiangong 1,2000Beidou,2008Tianlian I,2011 Yinghuo-1 (Failure),(planned)Solar Space Telescope,2017Space Hard X-Ray Modulation Telescope
scope="row"  IND,1999(PSLV-CA C2) 3 Sats,1999KOR GER DLR-Tubsat,2001GSAT(by GSLV),2007SRE-1,planned,2013 IRNSS,2002Kalpana-1,2013  Mangalyaan(orbiter),2021 (planned)Aditya-L1,2015Astrosat
scope="row"  JPN,1986(H-I H15F)3 Sats,2002H-IIAAUS FedSat,1977N-I),1994OREX,1997ETS-VII,2010QZSS,2002Kodama,1998Nozomi(orbiter) (Failure),1975Taiyo,1979Hakucho
