Function,,,,,,,,,,,,,,,,,,,Year,Designer,Derived from,Reference
BLAKE,,,,,,,,,,,,,,,,,,,2008,Jean-Philippe AumassonLuca HenzenWilli MeierRaphael C.-W. Phan,ChaCha20,[https://131002.net/blake/ Website][https://131002.net/blake/blake.pdf Specification]
BLAKE2,,,,,,,,,,,,,,,,,,,2012,Jean-Philippe AumassonSamuel NevesZooko Wilcox-OHearnChristian Winnerlein,BLAKE,[https://blake2.net/ Website][https://blake2.net/blake2.pdf Specification]7693
GOST R 34.11-94,,,,,,,,,,,,,,,,,,,1994,FAPSI and VNIIstandart,GOST 28147-89,5831
HAVAL,,,,,,,,,,,,,,,,,,,1992,Yuliang ZhengJosef PieprzykJennifer Seberry,,[https://web.archive.org/web/20150111210116/http://labs.calyptix.com/haval.php Website][https://web.archive.org/web/20140411060613/http://labs.calyptix.com/files/haval-paper.pdf Specification]
KangarooTwelve,,,,,,,,,,,,,,,,,,,2016,Guido BertoniJoan DaemenMichaël PeetersGilles Van Assche,Keccak,[https://keccak.team/kangarootwelve.html Website][https://keccak.team/files/KangarooTwelve.pdf Specification]
MD2,,,,,,,,,,,,,,,,,,,1989,Ronald Rivest",,1319
MD4,,,,,,,,,,,,,,,,,,,1990,,,1320
MD5,,,,,,,,,,,,,,,,,,,1992,,MD4,1321
MD6,,,,,,,,,,,,,,,,,,,2008,,,[https://groups.csail.mit.edu/cis/md6/ Website][https://groups.csail.mit.edu/cis/md6/docs/2009-04-15-md6-report.pdf Specification]
RIPEMD,,,,,,,,,,,,,,,,,,,1992,The RIPE Consortium,MD4,
RIPEMD-128RIPEMD-256RIPEMD-160RIPEMD-320,,,,,,,,,,,,,,,,,,,1996,Hans DobbertinAntoon BosselaersBart Preneel,RIPEMD,[http://homes.esat.kuleuven.be/~bosselae/ripemd160.html Website][https://homes.esat.kuleuven.be/~bosselae/ripemd160/pdf/AB-9601/AB-9601.pdf Specification]
SHA-0,,,,,,,,,,,,,,,,,,,1993,NSA",,[https://web.archive.org/web/20090130063617/http://w2.eff.org/Privacy/Digital_signature/?f=fips_sha_shs.info.txt SHA-0]
SHA-1,,,,,,,,,,,,,,,,,,,1995,,SHA-0,[https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.180-4.pdf Specification]"
SHA-256SHA-384SHA-512,,,,,,,,,,,,,,,,,,,2002,,",
SHA-224,,,,,,,,,,,,,,,,,,,2004,,,
SHA-3 (Keccak),,,,,,,,,,,,,,,,,,,2008,Guido BertoniJoan DaemenMichaël PeetersGilles Van Assche,RadioGatún,[https://keccak.team/ Website][https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.202.pdf Specification]
Streebog,,,,,,,,,,,,,,,,,,,2012," FSB, InfoTeCS JSC",,6986
Tiger,,,,,,,,,,,,,,,,,,,1995,Ross AndersonEli Biham,,[https://www.cs.technion.ac.il/~biham/Reports/Tiger/ Website][https://www.cs.technion.ac.il/~biham/Reports/Tiger/tiger/node3.html Specification]
Whirlpool,,,,,,,,,,,,,,,,,,,2004,Paulo Barreto,,[https://web.archive.org/web/20171129084214/http://www.larc.usp.br/~pbarreto/WhirlpoolPage.html Website]
