Names," Underlying theory(symbolic, connectionist, or hybrid) ",Achievements,Estimated requirements,Non-laboratory usages,Activity status(active or dead + RSS news),Year of creation,Related publications," License(if applies, for example GPL)"
4CAPS,?,?,?,?,?,?,?,
ACT-R,hybrid,?,?,?,active,?," Anderson, 2007 ",
ASMO,hybrid,Many robotic systems,?,IBM internet-of-things system,active,2009," Novianto, Johnston and Williams 2010 ",
CHREST,symbolic,?,?,?,active,1992,?,
CLARION," hybrid ",?,?,?,active,?," Sun, 2002 ",
Copycat,?,?,?,?,?,?,?,
Deeplearning4j,hybrid," online learning, anomaly detection, image recognition ",?,?,active,[http://shop.oreilly.com/product/0636920035343.do Josh Patterson  ; Adam Gibson (2017)],Apache 2.0,
DUAL,hybrid,?,?,?,?,?,?,
EPAM,?,?,?,?,?," 1959  ",?,
EPIC,?,?,?,?,?,?,?,
GLAIR,symbolic,?,?,?,active,?," Bona and Shapiro, 2009 ",?,
Hierarchical Temporal Memory,connectionist," online learning, anomaly detection ",?,anomaly detection,active,2009,Hawkins et al (multiple),AGPL
LIDA,symbolic,?,?,?,?,?,?,
MAMID,?,?,?,?,?,?," Hudlicka, 2002; 2003 ",?,
Mibe architecture,?,?,?,?,?,1998,?,
OpenCog,hybrid," chatbot, game avatar ",?," misc subsystems in commercial, financial, medical ",active,2001,Goertzel et al (multiple),AGPL
Parallel terraced scan,?,?,?,?,?,?,?,
Procedural Reasoning System,?,?,?,?,?,?,?,
R-CAST,?,?,?,?,?,?,?,
Soar," symbolic   ",?,?,yes,active,1983,Laird (2012),
[http://cogarch.ict.usc.edu Sigma],Hybrid,Ray Kurzweil Awards at AGI 2011 and 2012,?,not yet,active,2009," [http://www.degruyter.com/dg/viewarticle.fullcontentlink:pdfeventlink/$002fj$002fjagi.ahead-of-print$002fjagi-2016-0001$002fjagi-2016-0001.pdf/jagi-2016-0001.pdf?format=INT ;t:ac=j$002fjagi.ahead-of-print$002fjagi-2016-0001$002fjagi-2016-0001.xml Rosenbloom, Demski, Ustun (2016)] ",[https://opensource.org/licenses/BSD-2-Clause BSD 2 clause]
[https://www.sosiel.org SOSIEL],Symbolic,,.Net Core,policy analysis,active,2018,[https://www.sciencedirect.com/science/article/abs/pii/S2212683X18301038 Sotnik (2018)],open source
[http://tinycog.sourceforge.net/ TinyCog],symbolic,?,?,?,active,2015," Bergmann and Fenton, 2015 ",GPL V3
