[ Model
, Type of device
, Brand
, Release year
, Operating System
, OS version
, Kernel
, UI and version
, Comment
],
 | Smartphone, | Nokia, | , | Symbian OS, | 9.2, | , | S60 3rd Edition Feature Pack 1 version 3.1, | ,
 | Smartphone, | Nokia, |, | Symbian OS, | 9.3, | , | S60 3rd Edition Feature Pack 2 version 3.2, | ,
 | Smartphone, | Nokia, |, | Symbian OS, | 9.3, | , | S60 3rd Edition Feature Pack 2 version 3.2, | ,
 | Smartphone, | Nokia, | , | Symbian OS, | 7.0s, | , | S60 2nd Edition Feature Pack 1 version 2.1, | ,
 | Smartphone, | Nokia, | 2007 , | Symbian OS, | 9.2, | , | S60 3rd Edition Feature Pack 1 version 3.1, | ,
 | Smartphone, | Nokia, | , | Symbian OS, | 7.0s, | , | S60 2nd Edition version 2, | ,
 | Smartphone, | Nokia, | , | Symbian OS, | 7.0s, | , | S60 2nd Edition Feature Pack 1 version 2.1, | ,
 | Smartphone, | Nokia, | , | Symbian OS, | 8.0a, | , | S60 2nd Edition Feature Pack 2 version 2.6, | ,
 | Smartphone, | Nokia, |, | Symbian OS, | 9.3, | , | S60 3rd Edition Feature Pack 2 version 3.2, | ,
 | Smartphone, | Nokia, | , | Symbian OS, | 7.0s, | , | S60 2nd Edition Feature Pack 1 version 2.1, | ,
 | Smartphone, | Nokia, | , | Symbian OS, | 8.0a, | , | S60 2nd Edition Feature Pack 2 version 2.6, | ,
 | Smartphone, | Nokia, | , | Symbian OS, | 8.0a, | , | S60 2nd Edition Feature Pack 2 version 2.6, | ,
 | Smartphone, | Nokia, | , | Symbian OS, | 8.0a, | , | S60 2nd Edition Feature Pack 2 version 2.6, | ,
 | Smartphone, | Nokia, |, | Symbian OS, | 9.3, | , | S60 3rd Edition Feature Pack 2 version 3.2, | ,
 | Smartphone, | Nokia, | , | Symbian OS, | 7.0, | , | UIQ 2.1, | ,
 | Smartphone, | Nokia, |, | Symbian OS, | 9.3, | , | S60 3rd Edition Feature Pack 2 version 3.2, | ,
 | Smartphone, | Nokia, |, | Symbian OS, | 9.3, | , | S60 3rd Edition Feature Pack 2 version 3.2, | ,
 | Smartphone, | Nokia, |, | Symbian OS, | 9.3, | , | S60 3rd Edition Feature Pack 2 version 3.2, | ,
 | Smartphone, | Nokia, |, | Symbian OS, | 9.3, | , | S60 3rd Edition Feature Pack 2 version 3.2, | ,
 | Smartphone, | Nokia, |, | Symbian OS, | 9.3, | , | S60 3rd Edition Feature Pack 2 version 3.2, | ,
 | Smartphone, | Nokia, |, | Symbian OS, | 9.3, | , | S60 3rd Edition Feature Pack 2 version 3.2, | ,
 | Smartphone, | Nokia, |, | Symbian OS, | 9.3, | , | S60 3rd Edition Feature Pack 2 version 3.2, | ,
 | Smartphone, | Nokia, |, | Symbian OS, | 9.3, | , | S60 3rd Edition Feature Pack 2 version 3.2, | ,
 | Smartphone, | Nokia, | , | Symbian OS, | 7.0s, | , | S60 2nd Edition Feature Pack 1 version 2.1, | ,
 | Smartphone, | Nokia, | 2002 , | Symbian OS, | 6.1, | , | S60 1st Edition version 0.9, | First Nokia with Symbian OS; first Series 60 (Now S60)) platform device; first Nokia with built-in camera.,
 | Smartphone, | Nokia, | , | Symbian OS, | , | , | [[Series 90 (software platform)|S90]], | only model on S90,
 | Smartphone, | Nokia, | , | Symbian OS, | 6.0, | , | [[Series 80 (software platform)|S80]] v1.0, | ,
 | Smartphone, | Nokia, | , | Symbian OS, | 6.0, | , | S80 v1.0, | ,
 | Smartphone, | Nokia, | , | Symbian OS, | , | , | S80 v1.0, | ,
 | Smartphone, | Nokia, | , | Symbian OS, | , | , | S80 v2.0, | ,
 | Smartphone, | Nokia, | , | Symbian OS, | , | , | S80 v2.0, | ,
 | Smartphone, | Nokia, | , | Symbian OS, | , | , | S80 v2.0, | ,
 | Smartphone, | Nokia, |, | Symbian OS, | 9.3, | , | S60 3rd Edition Feature Pack 2 version 3.2, | ,
 | Smartphone, | Nokia, |, | Symbian OS, | 9.3, | , | S60 3rd Edition Feature Pack 2 version 3.2, | ,
 | Smartphone, | Nokia, | 2010, | Symbian^1, | 9.4, | EKA2, | S60 5th Edition version 5, | ,
 | Smartphone, | Nokia, | 2010, | Symbian^1, | 9.4, | EKA2, | S60 5th Edition version 5, | ,
 | Smartphone, | Nokia, | 2010, | Symbian^3, | 9.5, | EKA2, | Symbian^3 version 5.2, | ,
 | Smartphone, | Nokia, | 2010, | Symbian^3, | 9.5, | EKA2, | Symbian^3 version 5.2, | ,
 | Smartphone, | Nokia, |, | Symbian OS, | 9.3, | , | S60 3rd Edition Feature Pack 2 version 3.2, | ,
