Country,Motorways,Expressways,Primary roads,," scope=""col""  Secondary roads"," scope=""col""  Regional destinations",Local destinations,Tourist signs,| Temporary Detour
outside urban area,,,,,,
,,," scope=""row""  Austria",Salzburg,Wien,Villach,,style="background:#EAECF0; color:black" | n/a,| Salzkammergut,,,style="background:#FFF100; color:black" | Umleitung
" scope=""row""  Czechia",BRNO,PRAHA,VYŠKOV,,n/a,SLOVANY,Letiště,Hrad Bouzov,style="background:#F6821F; color:black" | PRAHA
"scope=""row""Denmark",Aarhus,Aarhus,Skanderborg,,,,Stadion,Himmelbjerget,style="background:#FFD90F; color:black; border: 2px solid black" | Nakskov
" scope=""row""  Finland",HELSINKIHELSINGFORS,LAPPEENRANTA,PORVOOBORGÅ,,n/a,KYMINLINNA,Kirjasto,Hiidenkivi,style="background:#FFD90F; color:black" | TURKU
" scope=""row""  France",PARIS,MARSEILLE,BEAUVAIS,TOULON,LA CHAPPELLE,n/a,Gare S.N.C.F.,PARC NATUREL,Déviation
" scope=""row""  Germany",Hamburg,Freiburg,Lübeck,,n/a,,Bahnhof,Burg Eltz,style="background:#EFCA30; color:black" | Umleitung
" scope=""row""  Greece",ΘεσσαλονίκηThessaloniki,ΠάτραPatra,ΑΘΗΝΑΑΤΗΙΝΑ,,n/a,,Κέντρο,ΑκρόποληAkropolis,
" scope=""row""  Ireland",Áth CliathDUBLIN,n/a,Tulach MhórTULLAMORE,,n/a,GuaireGOREY,,style="background:#7E4848; color:white" | HEYWOOD,
" scope=""row""  Italy",VENEZIA,UDINE,BERGOSOLE,,n/a,,aeroporto,Colfosco,style="background:#EBEB00; color:black" | deviazione
" scope=""row""  Liechtenstein",(CH) St. Gallen,(CH) Chur,Schaan,,Vaduz,n/a,Bahnhof," style=""background:#712E1A; color:white; font-family:Georgia, serif; font-style:italic; font-weight:500  Burg",style="background:#F68526; color:black; font-family:ASTRA-Frutiger; font-weight:600" | Umleitung
" scope=""row""  Lithuania",KLAIPĖDA,KAUNAS,VILNIUS,,n/a,,CENTRAS,,style="background:#FFF021; color:black" | Apylanka
" Scope=""row""  Netherlands",Amsterdam,Den Haag,Woerden,,n/a,,Centrum,,style="background:#FFDD00; color:black"| OMLEIDING<br>Volg A
" scope=""row""  Norway",Nannestad,Lillestrøm,Trondheim,,n/a,,Sykehus,Kvitsand,style="background:#FF8200; color:black" |
" scope=""row""  Poland",Wrocław,Poznań,Opole,,n/a,," style=""background:white; color:#2E4994  Stacja",Kraków,style="background:#FDBF2F; color:black" | Objazd
" scope=""row""  Portugal",Lisboa,n/a,Portalegre,,Póvoa de Varzim,ALGARVE,centro,castelo,style="background:yellow; color:black" | Desvio
" scope=""row""  Romania",București,n/a,Pitești,,n/a,n/a,Centru,Castelul Bran,style="background:#ffff00; color:black" | Ocolire
" scope=""row""  Slovakia",Košice,Nitra,Bratislava,,,,Centrum,Hrad,style="background:#F7B500; color:#2A292A" | obchádzka
" scope=""row""  Sweden",GÖTEBORG,STOCKHOLM,FALUN,,n/a,NORRMALM,Vårdcentral,Långe Erik,style="background:#F15C1B; color:black" |
" scope=""row""  Switzerland",Basel,Chiasso,Moudon,,Ftan,n/a,Gare CFF," style=""background:#712E1A; color:white; font-family:Georgia, serif; font-style:italic; font-weight:500  Castello",style="background:#F68526; color:black; font-family:ASTRA-Frutiger; font-weight:600" | Umleitung<br>Déviation<br>Deviazione
" scope=""row""  Spain",Villalba,Córdoba,Oviedo,PINTO,BADAJOZ,n/a,centro,Navacerrada,DESVÍO
" scope=""row""  UK",Nottingham M1,n/a,Holyhead A55,,Aylesbury,The NORTH,Village Hall,Thorpe Park,style="background:#FFD200; font-family:Sans-serif ; color:black" | Diversion
" scope=""row""  Åland",n/a,n/a,LÅNGNÄS,,n/a,KLINTEN,Centralsjukhuset,Bomarsund,style="background:#F79518; color:black" | KATTBY
