[ System
, Creator
, License]]
, Implementation language(s)
, Back end]]
, Launch Date
],
| Ladybird Web Solution,| Proprietary,| [[PHP]],| [[MySQL]],| 2015,
| INDEPNET,| [[GPL]],| [[PHP]],| [[MySQL]],| 2003,
| FrontRange Solutions,| Proprietary,| .NET,| [[Microsoft SQL Server]] [[Oracle Database|Oracle]],| 1990,
| [[Atlassian]],| Proprietary Free for non-commercial use; hosted ; on-premises,| [[Java (software platform)|Java]],| [[MySQL]] [[PostgreSQL]] Oracle [[Microsoft SQL Server]],| 2003,
| [[OTRS]],| [[Affero General Public License|AGPL]],| [[Perl]],| [[MySQL]] [[PostgreSQL]] [[Oracle Database|Oracle]] [[Microsoft SQL Server]],| 2001,
| Best Practical Solutions LLC,| [[GPL]],| [[Perl]],| [[MySQL]] [[PostgreSQL]] [[Oracle Database|Oracle]],| 1999-10-13,
| Spiceworks IT Software,| Proprietary; free for use,| [[Ruby (programming language)|Ruby]],| [[sqlite]],| 2006,
| Hornbill Systems,| Proprietary,| [[Visual C++]] and [[PHP]],| [[Microsoft SQL Server]] [[MySQL]] [[Oracle database|Oracle]] [[Adaptive Server Enterprise|Sybase]],| 1994,
| SysAid Technologies,| Proprietary,| [[Java (programming language)|Java]] [[C Sharp (programming language)|C#]],| [[MySQL]] [[Apache Derby|Derby]] [[Oracle Database|Oracle]] [[Microsoft SQL Server]],| 2002,
| Automation Centre,| Proprietary,| [[Groupware]] requires [[Lotus Notes]],| [[IBM Lotus Domino]],| 2001,
| Automation Centre,| Proprietary,| [[C Sharp (programming language)|C#]],| [[Microsoft SQL Server]],| 2006,
,
