Kernel name,Intel,NVIDIA,AMD,ARM,Qualcomm,Imagination Technologies,Broadcom,VeriSilicon
,Intel HD/Iris Graphics,GeForce/Quadro/Tesla,Radeon,Mali,Adreno,PowerVR,VideoCore4,Vivante
Linux kernel,yes,yes,yes,yes,yes,2D only,yes,Etnaviv
Windows NT kernel,yes,yes,yes,?," Windows RT, Windows Phone 8.x, Windows 10 Mobile",?,?,?
XNU,via I/O Kit (macOS only),,,no,no,via I/O Kit (iOS only),{{no}},{{no}}
