Name,Platform,License,Builders: Windows,Builders: Java,Builders: other,Notification," Integration, IDEs"," Integration, other"
Apache Gump,Python,Apache 2.0,unknown," Ant, Maven 1",unknown,Email,unknown,unknown
AppVeyor," Hosted, Self-Hosted",proprietary," Visual Studio, MSBuild, Psake",no," Custom Script, PowerShell"," Slack, [https://catlight.io Catlight]",no," GitHub, Bitbucket, Kiln, Windows Azure"
Bamboo,Web container,proprietary," MSBuild, NAnt, Visual Studio"," Ant, Maven 1-2-3"," Custom script, command-line tool, Bash, Grunt, Grails"," XMPP, Google Talk, Email, RSS, Remote API, HipChat"," Eclipse, Visual Studio"," FishEye, Jira, Clover, Bitbucket, GitHub"
Buddy,Cross-platform,proprietary,no,"Ant, Maven, Gradle","Elixir, Go, Haskell, Node.js, Python, Ruby, .NET Core","Desktop, Email, Slack, SMS",no,"Amazon Web Services, Bitbucket, GitHub, GitLab, Google Cloud Services, Heroku, Modulus"
Buildbot,Python,GPL,Command-line,Command-line,Command-line," Email, Web, GUI, IRC",unknown,unknown
BuildMaster,Cross-platform,proprietary,yes,yes,Cross-platform command-line," Email, custom",no,Many
CruiseControl,Cross-platform,BSD-style," Rake, Xcode"," Phing, Apache Ant, Maven",catch-all exec," Email, CCTray",Eclipse,unknown
CruiseControl.NET,Cross-platform,BSD-style," MSBuild, NAnt, Visual Studio",unknown,Command-line," Email, CCTray, RSS",unknown,unknown
GitLab," Cross-Platform, Self-Hosted"," Proprietary, MIT",Yes," Maven, Gradle"," SSH, Shell, VirtualBox, Parallels,Docker, Kubernetes)"," Email, Web, Slack and others",WebIDE,Many
GoCD,Cross-platform,Apache 2.0,Command-line,Command-line,Command-line," Email, hipchat, Slack, Gerrit, Gitter, Riemann [https://go.cd/plugins etc]",no,GitHub
Jenkins,Web container,Creative Commons and MIT,Batch Script," Ant, Maven 2, Kundo"," Grails, Phing, Rake, Ruby, Python, command-line"," Android, IRC, XMPP, Slack, Catlight, CCMenu, CCTray"," Eclipse, IntelliJ IDEA, NetBeans"," Jira, PMD and Mantis, HP ALM"
OpenMake Software Meister,Cross-platform,proprietary," MSBuild, NAnt, Visual Studio"," Ant, Maven 1-2-3"," batch script, cross-platform command-line, Groovy, Make, RTC Jazz, TFS Build, Custom Script Interpreter"," XMPP, RSS, Systray"," Eclipse, Visual Studio"," Jira, PMD and Mantis, Trac"
Semaphore (software),Hosted,proprietary,no," Maven, Gradle"," Ruby, Java, Python, C/Elixir, Erlang, Go, Rake, command-line"," Campfire, Slack, Flowdock, Webhooks, Remote API",unknown," AWS, Code Climate, Cloud 66"
Travis CI,Hosted,MIT,no," Ant, Maven, Gradle"," C, Clojure, Elixir, Erlang, Go, Groovy, Haskell, Java, Python, Ruby, Rust, Scala, Smalltalk"," Campfire, Slack, Catlight, CCMenu, CCTray",no," GitHub, Heroku"
TeamCity,Web container,proprietary," MSBuild, NAnt, Visual Studio, ReSharper-based .NET code analysis"," Ant, Maven 2-3, Gradle, IntelliJ IDEA-based build and code analysis"," command-line, Rake, FxCop"," XMPP, RSS, IDE, SysTray, Catlight"," Eclipse, Visual Studio, IntelliJ IDEA, RubyMine, PyCharm, PhpStorm, WebStorm"," JetBrains YouTrack, Jira, FishEye, PMD, dotCover, NCover"
" Team Foundation Server, Visual Studio Team Services (VSTS)",Cross-platform," Proprietary, MIT"," MSBuild, Visual Studio"," Ant, Maven, Android"," C, Go, Groovy, Java, Python, Ruby"," Email, SOAP, Catlight"," Eclipse, IntelliJ IDEA, Android Studio, Visual Studio Code "," Jenkins, Slack, Hipchat, PMD "
Vexor,Hosted,proprietary,no,unknown," Ruby, Scala, Python, Go, Rust, Haskell",Slack,unknown," GitHub, Bitbucket, Gitlab "
