[ Name
, Manufacturer
, Release       
, Size
, Type
, GB]] = 1,000&amp;nbsp;[[megabyte, Storage
, External
, Dimensions (mm × mm)
, Depth (mm)
, Weight (g)
, Firmware
],
| [[Archos]],| 2007-08-31,|,| [[Digital audio player|DAP]],| span style="display:none"0002 /span2,| [[Flash memory|Flash]],| [[Secure Digital card#SDHC|SDHC]],| 85 × 45,| 7,| 50,| 1.6.07,
| [[Archos]],| 2007-09-01,| Mini,| [[Portable media player|PMP]],| span style="display:none"0002 /span2,| Flash,| SDHCref name="MMC" /,| 99.6 × 78,| 13.2,| 119.07,| 1.8.03ref name="Archos 405 2GB Firmware Download"{{cite web |url=http://www.archos.com/support/download/firmware.html?etape=firm;pr=a405.png;country=global;lang=en |title=Archos 405 (2GB) Firmware Download |publisher=Archos |date=2008-02-11}}/,
| [[Archos]],| 2008-02-07,| Mini,| [[Portable media player|PMP]],| span style="display:none"0030 /span30,| [[Hard disk|HDD]],|,| 100 × 78,| 15,| 191,| 1.8.03ref name="Archos 405 2GB Firmware Download"/ref name="archos.com"/,
| [[Archos]],| 2008-08-19,| Mid,| PMP,| span style="display:none"0500 /span120/500,| HDD,| 8–32 GB and Micro SD Slot (SDHC compatible),| 127 × 78.8,| 19.4,| 300,| 1.6.53,
| [[Archos]],| 2007-09-01,| Mid,| PMP,| span style="display:none"0004 /span4,| Flash,| SDHCref name="MMC" /,| {{convert|4.8|×|3.2|in|mm|disp=output number only}},| {{convert|0.6|in|mm|disp=output number only}},| {{convert|5.29|oz|g|disp=output number only}},| 1.8.03ref name="ReferenceA"{{cite web|url=http://www.archos.com/support/download/firmware.html?etape=firm;pr=a605f.png;country=global;lang=en|title=Archos 605 WiFi (Flash) Firmware Download|publisher=Archos|date=2008-02-11}}/,
| [[Archos]],| 2007-09-01ref name="http"/,| Mid,| PMP,| span style="display:none"0160 /span30/80/160,| HDD,|,| {{convert|4.8|×|3.2|in|mm|abbr=on|disp=output number only}},| {{convert|0.6|in|mm|disp=output number only}},| {{convert|6.7|oz|g|disp=output number only}},| 1.8.03ref name="ReferenceA"/ref name="ReferenceB"/,
| [[Archos]],| 2007-11-27,| Mega,| PMP,| span style="display:none"0160 /span80/160,| HDD,|,| 182 × 128,| 19.69,| 630,| 1.8.03,
| [[Cowon]],| 2007-11-14,| Mid,| PMP,| span style="display:none"0080 /span30/60/80,| HDD,|,| 133.4 × 78.5,| 22,| 280,| 1.24,
| [[Cowon]],| 2006-12-05,| Micro,| PMP,| span style="display:none"0016 /span2/4/8/16,| Flash,| SDHCref name="MMC" /,| 78.0 × 55.4,| 16.6,| 91.0,| 2.57,
| [[Cowon]],| 2007-11-30,| Mid,| PMP,| span style="display:none"0080 /span40/60/80,| HDD,|,| 138.8 × 88.5,| 20,| 380,| 1.5,
| [[Cowon]],|,| Mid,| PMP,| span style="display:none"0032 /span8/16/32,| Flash,|,| {{convert|4.70|×|2.89|in|mm|disp=output number only|abbr=on}},| {{convert|0.70|in|mm|disp=output number only}},| {{convert|7.23|oz|g|disp=output number only}},|,
