,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,Total
CHN,1,5,7,8,5,6,9,11,6,15,73
JPN,1,3,3,-,2,6,2,1,3,2,23
IND,2,1,2,1,1,1,3,3,2,3,19
ISR,-,1,-,1,-,-,1,-,-,1,4
IRN,-,-,-,-,-,-,-,1,1,-,2
KOR,-,-,-,-,-,-,-,-,1,1,2
PRK,-,-,-,-,-,-,-,-,1,-,1
Total,4,10,12,10,8,13,15,16,14,22,124
