[S No.
, Name
, Operator
, Manufacturer
, Max range
, Missile mass
, date=February 2020, Status
, First flight
, MIRV]]
, Mobility
, Accuracy ([[Circular error probable],
|[[RS-28 Sarmat]],|[[Russia]],|[[Makeyev Rocket Design Bureau|State Rocket Center Makeyev]],|10000km,|220 tonnes ,|10000kg {{cn|date=May 2020}},|Under development,|2018,|Yes,|[[Missile silo|Silo]],|16{{clarify|date=February 2020|reason=Missing unit.}},
|[[BZhRK Barguzin]],|[[Russia]],|[[Votkinsk Machine Building Plant|Votkinsk]],|12600km,|45-50 tonnes,|N/A,|Under development,|N/A,|Yes,|Railroad,|N/A,
|[[R-36M2 Voevoda]] ,|USSR,|Yuzhmash|Yuzhny Machine-Building Plant,|11000km (or 16000km with a single warhead),|211400kgref name=":0" /,|10 x 800 kt / 8730kgref name=":0" /,|Active,|1986,|Yes,|Silo,|220 m,
|[[UR-100N (missile)|UR-100N UTTKh]],|USSR,|[[Khrunichev|Khrunichev Machine-Building Plant]],|10000km,|105600kg,|6 x 550 kt / 4350kg,|Active,|1977,|Yes,|Silo,|N/A,
|[[RT-2PM Topol]],|USSR,|[[Votkinsk Machine Building Plant]],|10500km,|45100kg,|800 kt,|Active,|1985,|No,|Road-mobile [[Transporter erector launcher|TEL]],|200 m,
|[[RT-2PM2 Topol-M]],|[[Russia]],|Votkinsk Machine Building Plant,|11000km,|47200kg,|800 kt,|Active,|1994,|Yes,|[[Missile silo|Silo]] road-mobile TEL,|200 m,
|[[RS-24]],|Russia,|Votkinsk Machine Building Plant,|12000km,|49000kg,|4 ttx/tt 300 kt ,|Active,|2007,|Yes,|Silo road-mobile TEL,|150 m,
|[[R-29 Vysota|R-29R]],|Russia,|State Rocket Center Makeyev,|6500km,|35300kg,|1650kg,|Active,|N/A,|N/A,|[[Delta class submarine#Delta III (Project 667BDR Kalmar) 14 boats|Delta III Submarine]],|N/A,
|[[R-29 Vysota|R-29RK]],|Russia,|State Rocket Center Makayev,|6500km,|34388kg,|1650kg,|Active,|N/A,|Yes,|Delta III Submarine,|N/A,
|[[R-29 Vysota|R-29RL]],|Russia,|State Rocket Center Makeyev,|9000km,|35300kg,|1650kg,|Active,|N/A,|Yes,|Delta III Submarine,|N/A,
|[[R-29RM Shtil|R-29RM]],|Russia,|[[Krasnoyarsk Machine-Building Plant]],|8300km,|40300kg,|2800kg,|Active,|N/A,|Yes,|[[Delta IV class submarine|Delta IV Submarine]],|N/A,
12,|[[R-29RMU Sineva]],|Russia,|[[Krasnoyarsk Machine-Building Plant]],|11547km,|40300kg,|N/A,|Active,|2004,|Yes (6),|Delta IV Submarine,|N/A,
|[[R-29RMU2 Layner]],|Russia,|[[Krasnoyarsk Machine-Building Plant]],|11000km+,|40000kg,|N/A,|Active,|2011,|Yes (12),|Delta IV Submarine,|N/A,
|[[RSM-56 Bulava]],|Russia,|Votkinsk Plant State Production Association,|10000km,|36800kg,|6 ttx/tt 150 kt,|Active,|2005,|Yes,|[[Borei class submarine]],|200 m,
|[[R-7 Semyorka]],|USSR,|[[Soviet Academy of Sciences]],|12000km,|280000kg,|2.9 Mt of TNT,|Inactive,|1959,|No,|Launch pad,|5000 m,
|[[R-16 (missile)|R-16]],|USSR,|[[Khartron]],|11000km,|141000kg,|5 Mt,|Inactive,|1961,|No,|Silo,|2700 m,
|[[R-9 Desna]],|USSR,|[[NPO Energomash]]br /Khartron,|11000km,|N/A,|2.3 Mt ,|Inactive,|1961,|No,|Silo,|2000 m,
|[[UR-100 (missile)|UR-100]],|USSR,|Khrunichev Machine-Building Plant,|10600km,|41400kg,|1 Mt ,|Inactive,|1966,|No,|Silo,|N/A,
|[[RT-2]],|USSR,|,|8000km,|34000kg,|600 kt,|Inactive,|1968,|No,|Silo,|,
|[[MR-UR-100 Sotka]],|USSR,|Yuzhny Machine-Building Plant,|10250km,|71200kg,|4×0.4 Mt,|Inactive,|1971,|Yes,|Silo,|,
|[[RT-23 Molodets]],|USSR,|[[Yuzhnoye Design Bureau]],|10450km,|104500kg,|10 x 550 kT,|Inactive,|1986,|Yes (10),|Silo Railroad,|150–250 m,
|[[R-29 Vysota|R-29]],|USSR,|State Rocket Center Makayev,|7700km,|,|,|Inactive,|1969,|No,|[[Delta I class submarine|Delta I submarine]],|,
|[[R-39 (missile)|R-39 Rif]],|USSR,|Zlatoust Machine-Building Plant,|8300km,|84000kg,|10 x 100–200 kT,|Inactive,|1983,|Yes,|[[Typhoon class submarine]],|N/A,
|[[Minuteman III]],|US,|[[Boeing]],|13000km,|35300kg,|3 ttx/tt 300 kt of TNT,!-- |(US$) 7 mil --,|Active,|1970,|Yes,|Silo,|200 m,
|[[UGM-96 Trident I|Trident]] ,|US,|[[Lockheed Martin Space Systems]],|7400km,|33142kg,|8 ttx/tt 100 kt,|Inactive,|1977,|Yes,|{{sclass-|Ohio|submarine|1}},|380 m ,
|[[SM-65 Atlas|Atlas]],|US,|Consolidated Vultee Aircraft (Convair),|14500km,|,|,|Inactive,|1959,|No,|,|,
|[[HGM-25A Titan I|Titan I]],|US,|[[Glenn L. Martin Company]],|10200km,|105140kg,|3.75 Mt,|Inactive,|1959,|No,|Silo,|,
|[[LGM-25C Titan II|Titan II]],|US,|Glenn L. Martin Company,|15000km,|154000kg ,|9 Mt,|Inactive,|1962,|No,|Silo,|,
|[[Minuteman I]],|US,|Boeing,|,|,|1.2 Mt,|Inactive,|1961,|No,|Silo,|200 m,
|[[Minuteman II]],|US,|Boeing,|,|,|1.2 Mt,|Inactive,|1965,|No,|Silo,|,
|[[LGM-118 Peacekeeper]],|US,|[[Boeing]] [[Martin Marietta]] [[TRW Inc.|TRW]],|9600km,|96750kg,|10 ttx/tt 300 kt,|Inactive,|1983,|Yes,|Silo,|120 m,
