Format,Languages
" name[index] or name[index1, index2] etc."," Pascal, C#, S-Lang"
name[index] or name[index1; index2] etc.or index⌷name or index1 index2⌷name etc.,APL
name[index]," C, Ch, Cobra, D, Go, Java,  Julia, Lingo, Lua, Nim, Python,  R, Ruby, Rust, Swift"
$name[index]," Perl, PHP, Windows PowerShell, XPath/XQuery"
@name[index],Raku
" name(index) or name(index1, index2) etc."," Ada, RPG, Scala, Visual Basic, Visual Basic .NET, Xojo"
$name(index)," XPath/XQuery"
name.(index),OCaml
name.[index],F#
name/index,Red
name ! index,Haskell
$name ? index," XPath/XQuery"
(vector-ref name index),Scheme
(aref name index),Common Lisp
(elt name index),ISLISP
nameindex," Mathematica, Wolfram Language"
name at:index,Smalltalk
[name objectAtIndex:index],Objective-C (NSArray * only)
index{name,J
name.item(index) or name @ index,Eiffel
