,Creator,Latest stable version,Release date,Software license,Open source,Programming language,Plugin support
Appetizer,Laurent Cozic,1.4.6.494,20100213,GPL,yes," C++, wxWidgets",yes
ASuite,SalvadorSoftware,1.5.1.2,20080524,GPL,yes,Delphi,no
Classic Shell,Ivo Beltchev,4.3.1,2017812,MIT,yes,C++,yes (via shell namespace extensions inside the menu)
[https://keypirinha.com/ Keypirinha],Jean-Charles Lefebvre,2.2.4,20190818,Freeware,no,C++,Yes
LiberKey,Captel SARL,5.8.1129,20151130,Proprietary,no,dunno,no
PortableApps.com Platform," Rare Ideas, LLC",15.0.2,2018517,GPL,yes,Delphi,no
SliderDock,Dimitri Roozendaal,1.21,20101011,Creative Commons,no,dunno,no
[https://github.com/Wox-launcher/Wox Wox],Many,1.3.524,2018225,MIT,yes,C#,yes
