Title,Publisher,First published,Latest edition,Year,Pages,Entries (approx.),Main dialect,Pronunciation guide
American Heritage Dictionary (AHD),Houghton Mifflin Harcourt,1969,data-sort-value="5"  5th (0-547-04101-2),2011,formatnum:2074,formatnum:70000,American,Diacritical
The Chambers Dictionary,Chambers Harrap,1872,data-sort-value="11"  13th (9781473602250),2014,formatnum:1920,formatnum:62500,British,Diacritical
Collins English Dictionary,HarperCollins,1979,data-sort-value="11"  12th (9780007522743),2014,formatnum:2340,formatnum:100000,British,IPA
Concise Oxford English Dictionary (COED),Oxford University Press,1911,data-sort-value="3"  12th (9780199601080),2011,formatnum:1728,formatnum:240000,British,IPA
The Merriam-Webster Dictionary (MWD),Merriam-Webster,1828,data-sort-value="3"  18th (978-0-87779-668-8),2016," formatnum:720 (trade), 960 (mass-market)",formatnum:75000,American,Diacritical
New Oxford American Dictionary (NOAD),Oxford University Press,2001,data-sort-value="3"  3rd (0-19-539288-4),2010,formatnum:2096,formatnum:350000,American,Diacritical
Oxford Dictionary of English,Oxford University Press,1998,data-sort-value="3"  3rd (0-19-957112-0),2010,formatnum:2112,formatnum:355000,British,IPA
Oxford English Dictionary (OED),Oxford University Press,1895," data-sort-value="2"  2nd (20 vols., 0-19-861186-2)",1989,formatnum:21730,formatnum:291500,British,IPA
Random House Websters,Random House,1966," data-sort-value="3"  2nd (rev., 978-0375425998)",2002,formatnum:2256,formatnum:315000,American,Diacritical
Shorter Oxford English Dictionary (SOED),Oxford University Press,1933," data-sort-value="3"  6th (2 vol., 9780199206872)",2007,formatnum:3804,formatnum:125000,British,IPA
Websters Third New International Dictionary (W3),Merriam-Webster,1961,data-sort-value="3"  3rd (0-87-779201-1),2002,formatnum:2783,formatnum:263000,American,Diacritical
