Meaning,Spanish,Portuguese
mayor,alcalde < Hisp. Ar. < Arabic alqáḍi < qāḍi,presidente da câmara (municipal) / prefeito < Lat. praesidens + camara / praefēctus,
"bricklayer, stonemason",albañil < Hisp. Ar. < Arabic albanní < bannā,pedreiro < Lat. petra,
potter,alfarero < Hisp. Ar. < Arabic alfaẖ ẖār < faẖ ẖār,oleiro < Lat. ollarius,
vest,chaleco < Alg. Ar. < Turk xileco < yelek,colete < Ita. coletto,
basil,albahaca < Hisp. Ar. < Arabic alḥabáqa < ḥabaqah,"basílico, manjericão < Lat., uncertain origin basilicum, uncertain ",
bean,alubia < Hisp. Ar. < Arabic alubía < al-lubiya اٌٍىتيا,feijão < Lat.  faseolus,
celery,chirivía < Hisp. Ar. alcaravea < alkarawíyya,aipo < Lat. apium,
watermelon,sandía,melancia < Lat. bilancia < bilanx,
pistachio,alfóncigo < Hisp. Ar. < Arabic fustuq,"pistácio, pistacho < Lat < Gre pistacium < pistákia ",
thrush,zorzal < Hisp. Ar. < Arabic zurzál < zurzir,tordo < Lat. turdus,
hobby (bird),alcotán < Hisp. Ar. < Arabic quṭán < qaṭām,ógea < uncertain origin *maybe O.Fra. hobe,
mackerel,jurel < Hisp. Ar < Lat šuríl < saurus,cavala < Gaulish < Celt . caballos,
scorpion,"alacrán, escorpión < His. Ar. < Arabic, Lat. al‘aqráb < aqrab, scorpīo ",escorpião < Lat. scorpīo,
mercury,azogue < His. Ar. < Arabic azzáwq < zāwūq,mercúrio < Lat. Mercurius,
breast cancer,"zaratán, cáncer de mama ",cancro/câncer da mama < Lat. cancer mamma,
robe (bath),albornoz <  Hisp. Ar. < Arabic burnús < burnūs,"roupão, robe < Gothic, Fra. rauba, robe  ",
"hostess, stewardess",azafata < Hisp. Ar < Arabic. assafáṭ < safáṭ,hospedeira (de bordo) < Lat. hospitis,
"sewage (system), gutter",alcantarilla < Hisp. Ar. < Arabic alqánṭara < qánṭarah,"esgoto, goteira < Lat. guttae  ",
jerk,mamarracho < Hisp. Ar < Arabic muharráǧ < muharriǧ,parvo < Lat . parvulus,
"drunk, drunkard",borracho < Cat < Arabic marratxa < mirrassa,bêbado < Lat . bibitum,
"to crimp, to compress, to link (verb)",engarzar < Hisp. Ar. < Arabic ḡárza< ḡarzah,"engrenar, endentar, comprimir < Lat. granum, dens, comprimere ",
"to duck out, to skive off  (verb)",escaquearse < Hisp. Ar. < Arabic iššáh < šāh,"escapar < Lat. < Proto-Italic excappā <, kaput ",
to save(financial) (verb),ahorrar < Arabic. alhurr الحر,poupar  < Lat. palpō < palpāre,
"corner, edge",rincón < Hisp. Ar. < Arabic rukán < rukn,canto < Celtic kant,
"flowerbed, small garden, vegetable patch",arriate < Hisp. Ar. < Arabic arriyáḍ < riyāḍ,canteiro,
Majorcan,mallorquí < Lat. maiorica + Arabic gentilic suffix -iyy,Maiorquino < Lat maiorica + -inus,
Iraqi,"iraquí, irakí < Arabic demonym iraqiyy عراقي ",Iraquiano < Lat. + suffix Iraqi + -anus,
