Model,Launch,Code name,Bus interface,Core clock (MHz),Memory clock (MHz),Core config1,Fillrate,,,,Memory,,,,API support,
,,,,,,,MOperations/s,MPixels/s,MTexels/s,MVertices/s,Size (MB),Bandwidth (GB/s),Bus type,Bus width (bit),Direct3D,OpenGL
"!,February 6, 2002",NV17M",AGP 8×",200",200,2:0:4:2",400",400",800",0",16,1.6,SDR,64",9.0c",1.2"
"!,,,,,400,,,,,,32,3.2,DDR",,,
"!,,,,220,440,,440,440,880,,64",7.04,,128",,
"!,"October 14, 2002",,,250,500,,500,500,1000,,,8,,,,
"!,,NV18M,,300,550,,600,600,1200,,,8.8,,,,
"!,"November 14, 2002",NV28M,,200,400,4:2:8:4,800,800,1600,,,100,,,,,6.4
