",License,Windows,Mac OS,Linux,Market focus,GL,AR/AP,DEB,$£€¥,OB,POS,EC,SOCT,PR,ERP,CRM,BI,HRM,Manf./BOM,SCM,IM—,RM,D/WM,MU,MultiCo,Tax,Other Features,Structure,Language
"!,GPL,yes,yes,yes,Mid-market,yes,yes,yes,yes,,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,," SaaS, Project Management, CRM.",Web-based and Client-server.," Java on JBoss, GlassFish, PostgreSQL, Oracle."
"!,Apache License,yes,yes,yes,Small to mid-sized enterprises,yes,yes,yes,yes,,yes,yes,,,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes," SaaS, Calendar, Webmail"," Multi-User, Web Access, Cloud Hostable",Java
"!," GPL2, other proprietary ",yes,yes,yes,Mid-market,,,,,,yes,,,,yes,yes,,,yes,,,,yes,,,,MES,Web-based,Java EE
"!,GPL,yes,yes,yes,Small to mid-sized enterprises,yes,yes,yes,yes,,yes,,yes,,yes,yes,,yes,,,,,yes,yes,yes,,SaaS,Web-based,PHP
"!,GPL,yes,yes,yes,Personal and small enterprise,yes,yes,yes,yes,yes,,,yes,,,,,,,,,,,,,ltd,,Stand-alone," C, Scheme"
"!,GPL,yes,yes,yes,Mid to high end market,,,,yes,,,yes,,,yes,yes,,yes,,yes,,,,,,,,Web-based + stand-alone,Python
"!,GPL2,yes,yes,yes,Mid-market,yes,yes,yes,yes,,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,," SaaS, Calendar, Project Management",Web-based and Client-server," Java on Jetty, OSGi, PostgreSQL, Oracle"
"!,GPL,yes,no,yes,All enterprises,,,yes,,,yes,,,,yes,yes,,,,,,,yes,,,,," Web-based, Stand-alone",Java
"!,GPL,yes,yes,yes,Mid-market,yes,yes,yes,yes,yes,yes,,,,yes,yes,yes,,yes,yes,yes,,yes,yes,yes,yes," SaaS, Light Manufacturing, Multi-language (40),",Web-based,Perl
"!,BSD,yes,yes,yes,Personal and small enterprise,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,Can be used with git,Plain text file-based,C++
"!,GPL2,yes,yes,yes,Mid-market,yes,yes,yes,yes,,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,," SaaS, On-Premise"," Web-based, Client-server"," Java on Tomcat, PostgreSQL"
"!,LGPL3,yes,yes,yes,All enterprises,yes,yes,yes,yes,,yes,yes,,,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,," SaaS, On-Premise",Web-based,Python
"!,MPL derivative with badgeware clause,yes,yes,yes,Mid-market,yes,yes,yes,yes,,yes,yes,,yes,yes,yes,yes,yes,yes,,yes,,,yes,yes,yes," Project Management, Multi-language, Localized by country"," Web-based, on-premises, Saas, On Demand",Java
"!,GPL,yes,yes,yes,Mid-market,yes,yes,yes,yes,,yes,,,,yes,,,,yes,,yes,,,yes,yes,,,Web-based,Perl
"!,GPL,yes,yes,yes,Low to mid-market,yes,yes,yes,yes,yes,,yes,,,yes,yes,,,yes,yes,yes,,yes,yes,yes,yes,,Thin client  ; Web-based client - Server,Python
