Other software,Software type,FOSS,Software license,Active,Last Update
ADCCore,General library,yes,GNU GPL,yes,
DCBouncer,Relay,yes,GNU GPL,yes,
DC-Hublink,Hub linker,yes,GNU GPL,no,
DCWatch,Hub operator helper,yes,GNU GPL,no,
Embla,General library,yes,GNU GPL,dunno,
FlowLib,General library,yes,GNU GPL,yes,
NetChatLink,Hub linker,yes,GNU GPL,yes,
Announcer Bot,Announce new Releases,yes,GNU GPLv2,yes,
Certmanager,Manage SSL Certificates,yes,GNU GPLv2,yes,
SerieBot,SerieBot,yes,GNU GPL,yes,
Other software,Software type,FOSS,Software license,Active,
