[ Afrikaans 
, ],
 avond , evening,
 (aardappel)chips , potato chips small(US)/smallbr/ crisps small(UK)/smallbr /,
 weglatingsteken afkappingsteken apostrof , apostrophe,
 bestelbus small(Netherlands)/smallbr / bestelwagen small(Belgium)/small , delivery van panel van,
 bijna br/small''amper'' means "just"/small , nearly almost,
 officieel br/small''ambtelijk'' means "''ex officio''"/small , official,
 als , if,
 adem br/small''asem'' also used in Belgium/small , breath,
 alsjeblieft alstublieft , please,
 jasje vest , jacket,
 baby kindje , baby,
 kater , hangover,
 heel zeer veel , very much,
 pick-up , pick-up truck,
 media-adviseur , media spokespersonbr/ press officer,
 zwerver , vagrant,
 rijbewijs , driving licence small(UK)/smallbr / driver's license small(US)/small,
 kruiswoordraadsel , crossword puzzle ,
 baviaan , baboon ,
 schatje liefje , baby darling ,
 zoet broodje , bun ,
 botsing aanrijding , collision,
 barbecue , barbecue ,
 Groot-Brittannië , Britain Great Britain ,
 bromfiets scooter , moped scooter ,
 die , that those,
 marihuana , marijuana cannabis,
 dank je/u bedankt , thank you thanks ,
 door , through door,
 door elkaar br/small''door mekaar'' dialectal/small, mixed up confused,
 de het , the,
 tunnel , tunnel underpass ,
 drugs br/small''bedwelmen'' means "intoxicate"/small , drugs,
 e-mail br/small''e-post'' purism/small, email,
 besloten vennootschap (BV) , propriety limitedbr/ (Pty.) Ltd.,
 fantastisch , cool great,
 excuus br/smallsimilar pronunciation/small , sorry apology,
 nog iets , anything,
 iedereen , anyone,
 motor , engine,
 zat zijn , fed up,
 geschenk cadeau , gift present ,
 geloven , believe,
 insect , insect bug,
 gazon , lawn,
 pinda br/ small''aardnoot'' ''apennoot'' ''grondnoot'' and ''olienoot'' are also sometimes used/small , peanut ,
 pindakaas , peanut butter,
 favoriet br/small''gunsteling'' older term/small , favourite,
 konijn br/small''haas'' means "hare"/small , rabbit ,
 Leger des Heils br/small''Heilsleger'' older term''/small, Salvation Army,
 dit deze , this these,
 kip small''hoen'' ''hoender'' are less common /small , chicken,
