Platform,,,Features,,,,,,,,Toolkit,,,Prolog Mechanics
Name,OS,Licence,Native Graphics,Compiled Code,Unicode,Object Oriented,Native OS Control,Stand Alone Executable,C Interface,Java Interface,Interactive Interpreter,Debugger,Code Profiler,Syntax
BProlog,"Windows, Mac OS X",Free for non-commercial uses,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,"ISO-Prolog, plus event-handling, CLP(FD), and tabling"
JIProlog,"Android",AGPL,yes,,yes,,yes via Java,yes,yes via Java,yes,yes,yes,,ISO-Prolog
Ciao,"Windows, Mac OS X","LGPL",,yes,,yes,yes,yes,yes,yes,yes,yes,yes,"ISO-Prolog, plus extensions"
[http://www.lpa.co.uk/dos.htm DOS-PROLOG],MS-DOS,Shareware,yes,yes,yes,,yes,yes,,,,yes,,Edinburgh Prolog
ECLiPSe,"Windows, Solaris, macOS",MPL,,yes,,,yes,,yes,yes,yes,yes,yes,"Extended Prolog, Multi-dialect, including ISO"
GNU Prolog,"Windows, Mac OS X","GPL, LGPL",,yes,,,yes,yes,yes,,yes,yes,,ISO-Prolog
[http://www.jekejeke.ch/ Jekejeke Prolog],"Android",[http://www.jekejeke.ch/idatab/doclet/cust/en/docs/recital/package.jsp Distribution Evaluation],yes,,yes,yes,yes,,,yes,yes,yes,yes,"ISO-Prolog, Java API"
[http://jlogic.sourceforge.net/ JLog],JVM,GPL,yes,yes,,,,,,yes,yes,,,ISO-Prolog
[http://jlogic.sourceforge.net/ JScriptLog],Web Browser,GPL,,,,,,,,,yes,,,ISO-Prolog
[https://web.archive.org/web/20121113023104/http://java.net/projects/jTrolog jTrolog],JVM,LGPL,,,yes,,,,,yes,yes,yes,,ISO-Prolog [http://jtrolog.dev.java.net/test_results/resultsISO.html tests]date=July 2018 bot=InternetArchiveBot fix-attempted=yes
[http://www.lpa.co.uk/win.htm LPA-PROLOG],Windows,Commercial,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Edinburgh Prolog with extensions
Open Prolog,Mac OS,Freeware,,,,,,,,,,yes,,
Poplog Prolog,"Windows ",Free Open Source,"Only through POP-11, on Linux",yes,,,yes,yes,yes,,yes,yes,,"Edinburgh Prolog, with interfaces to Poplog Common Lisp and Pop-11"
SICStus Prolog,"Windows, macOS",Commercial,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,ISO-Prolog
Strawberry Prolog,"Windows, Unix","Freeware, Commercial",yes,yes,yes,,,yes,,,,yes,,Not ISO-Prolog + extensions
SWI-Prolog,"Windows, macOS",BSD License,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,"ISO-Prolog, Edinburgh Prolog"
tuProlog,"Android",LGPL,yes,,yes,,,,yes,yes,yes,yes,,ISO-Prolog
Visual Prolog,Windows,"Freeware, Commercial",yes,yes,yes,yes,yes,yes,yes,,,yes,yes,
XSB Prolog,"Windows, Solaris, macOS",LGPL,,yes,yes,,yes,yes,yes,yes,yes,yes,yes,"ISO-Prolog, tabled WFS"
YAP-Prolog,"Windows, Solaris, Mac OS X, HP-UX",GPL or Artistic (user choice),,yes,yes,,yes,yes,yes,yes,yes,yes,,"Edinburgh, ISO-Prolog, Quintus and SICStus Prolog compatible "
