Preposition +demonstrative(Portuguese),de,em
este (masc.sing.)esta (fem.sing.)estes (masc.pl.)estas (fem.pl.),align=center destedestadestesdestas,align=center nestenestanestesnestas
esse (masc.sing.)essa (fem.sing.)esses (masc.pl.)essas (fem.pl.),align=center dessedessadessesdessas,align=center nessenessanessesnessas
aquele (masc.sing.)aquela (fem.sing.)aqueles (masc.pl.)aquelas (fem.pl.),align=center daqueledaqueladaquelesdaquelas,align=center naquelenaquelanaquelesnaquelas
