Model,Launch,Code name,Fab (nm),Bus interface,Core clock (MHz),Memory clock (MHz),Core config1,Fillrate,,,,|Memory,,,,Processing power ([[GFLOPS]])
,,,,,,,,MOperations/s,MPixels/s,MTexels/s,MVertices/s,Size ([[Megabyte|MB]]),Bandwidth ([[Gigabyte|GB]]/s),Bus type,Bus width ([[bit]]),[[Single precision floating-point format|Single precision]]
GeForce 256 SDR,"October 11, 1999",NV10,TSMC 220 nm,AGP 4×PCI,120,166,4:4:4,480,480,480,0,32,2.656,SDR,128,50
GeForce 256 DDR,"December 13, 1999",,,,,150,,,,,,32<br />64,4.8,DDR,,
