",","
Arbitrary-size decimals,Reference type; no operators,Third party librarystyle=background: #8CF;
Arbitrary-size integers,Reference type; no operators,yes
Arrays,yes,yes
Boolean type,yes,yes
Character,yes,yes
Complex numbers,Third-party librarystyle=background: #8CF;,yes
Date/time,yes; reference type,yes; value type
Enumerated types,yes; reference type,yes; scalar
High-precision decimal number,style=background: #8CF;; but see Arbitrary-size decimals above,128-bit (28 digits) Decimal type
IEEE 754 binary32 floating point number,yes,yes
IEEE 754 binary64 floating point number,yes,yes
Lifted (nullable) types,style=background: #8CF;; but wrapper types,yes
Pointers,style=background: #8CF;; only method references,yes
Reference types,yes,yes
Signed integers," yes; 8, 16, 32, 64 bits "," yes; 8, 16, 32, 64 bits"
Strings," Immutable reference type, Unicode "," Immutable reference type, Unicode"
Type annotations,yes,yes
Single-root (unified) type system,style=background: #8CF;; but wrapper types,yes
Tuples,style=background: #8CF;; limited 3rd party available.,yes
Unsigned integers,style=background: #8CF;; but some method support.," yes; 8, 16, 32, 64 bits"
Value types,style=background: #8CF;; only primitive types,yes
