[ Name
, Nearest city
, Skiable area (acres)
, Top elevation (feet)
, Base elevation (feet)
, Vertical (feet)
, Runs
, Lifts
, Snowfall (in/year)
, Date Statistics Updated
],
|[[Dillon Colorado|Dillon]],| 1428,| 13050,| 10520,| 2530,| 147,| 9,| 350,| March 2020,
| [[Aspen Colorado|Aspen]],| 1040,| 11675,| 8040,| 3635,| 117,| 5,| 300,| March 2020,
| [[Aspen Colorado|Aspen]],| 675,| 11212,| 7945,| 3267,| 76,| 8,| 300,| March 2020,
|[[Beaver Creek Colorado|Beaver Creek]],| 1832,| 11440,| 8100,| 3340,| 150 ,| 23,| 325,| March 2020,
| [[Breckenridge Colorado|Breckenridge]],| 2908,| 12998,| 9600,| 3398,| 187,| 34,| 353,| March 2020,
| [[Aspen Colorado|Aspen]],| 470,| 9900,| 7870,| 2030,| 44,| 8,| 200,|March 2020,
| [[Leadville Colorado|Leadville]],| 470,| 11700,| 10500,| 1200,| 60,| 5,| 260,|Jan 2020,
| [[Copper Mountain Colorado|Copper Mountain]],| 2490,| 12441,| 9712,| 2738,| 140,| 24,| 305,| March 2020,
| [[Crested Butte]],| 1547,| 12162,| 9375,| 2787,| 121,| 15,| 234,|March 2020,
| [[Evergreen Colorado|Evergreen]],| 60,| 10650,| 10050,| 600,| 13,| 3,| 275,|,
| [[Nederland Colorado|Nederland]],| 680,| 10600,| 9200,| 1400,| 63,| 10,| 300,|March 2020,
| [[Granby Colorado|Granby]],| 406,| 9202,| 8202,| 1000,| 35,| 6,| 220,|,
| [[Hesperus Colorado|Hesperus]],| 60,| 8880,| 8100,| 700,| 13,| 2,| 150,|,
| [[Steamboat Springs Colorado|Steamboat Springs]],| 50,| 7136,| 6696,| 440,| 17,| 1,| 170,|,
| [[Silverton Colorado|Silverton]],| 16,| 9540,| 9300,| 240,| 11,| 1,| 200,|,
| [[Keystone Colorado|Keystone]],| 3148,| 12408,| 9280,| 3128,| 128,| 20,| 235,| March 2020,
|[[Dillon Colorado|Dillon]],| 1800,| 13010,| 10800,| 2210,| 94,| 11,| 422,|March 2020,
| [[Salida Colorado|Salida]],| 800,| 11960,| 10790,| 1170,| 54,| 5,| 375,|,
|[[Georgetown Colorado|Georgetown]],|300,|12700,|10600,|2100,|17,|2,|210,|March 2020,
| [[Grand Junction Colorado|Grand Junction]],| 1600,| 9850,| 8200,| 1650,| 37,| 4,| 250,|,
| [[Durango Colorado|Durango]],| 1525,| 10822,| 8793,| 2029,| 94,| 11,| 260,|,
| [[Silverton Colorado|Silverton]],| 1819,| 12300,| 10400,| 3087,| 69,| 1,| 460,|,
|[[Snowmass Village Colorado|Snowmass Village]],| 3339,| 12510,| 8104,| 4406,| 98,| 21,| 300,| March 2020,
| [[Steamboat Springs Colorado|Steamboat Springs]],| 2965,| 10568,| 6900,| 3668,| 169,| 18,| 314,| March 2020,
| [[Glenwood Springs Colorado|Glenwood Springs]],| 470,| 9895,| 7885,| 2010,| 67,| 4,| 252,|,
| [[Telluride Colorado|Telluride]],| 2000,| 12515,| 8725,| 3790,| 148,| 17,|280,| March 2020,
| [[Vail Colorado|Vail]],| 5317,| 11570,| 8120,| 3450,| 195 ,| 31,| 354,| March 2020,
| [[Winter Park Colorado|Winter Park]],| 3081,| 12060,| 9000,| 3060,| 166,| 23,| 314,|March 2020,
| [[Pagosa Springs Colorado|Pagosa Springs]],| 1600,| 11904,| 10300,| 1604,| 133,| 9,| 430,|March 2020,
,
