",Creator,Edition,Release Date,Cost (USD),Open source,Software license,Implementation
",AdroitLogic,17.01,January 2017,Subscription based licensing and support or perpetual licensing,No,proprietary,Enterprise Service Bus
",MuleSoft,Mule 3.7,June 2015,Sold as software as a subscription with various packaged options to serve different use cases. The pricing scales with usage as measured by number of cores on-premises and virtual cores in the cloud.,No,Dual (CPAL or proprietary,
",Apache Software Foundation,2.23.3," November 29, 2018",Free/Commercial support available,yes,Apache Software License,
",Apache Software Foundation,0.10.20,February 2017,Free / Commercial support available,yes,Apache Software License,
",Apache Software Foundation,7.0,January 2017,Free / Commercial support available,yes,Apache Software License,
",Apache Software Foundation,3.0,December 2016,Free / Commercial support available,yes,Apache Software License,
",Progress Software,5.x,2003,,no,proprietary,
",Automation Anywhere,6.1,Feb 2011,$5500,No,proprietary
",Microsoft,2016,December 2016," Enterprise Edition: $10,835 per core; Standard Edition: $2,485 per core; Branch Edition: $620 per core (minimum 4 cores required); Developer Edition - per seat, available under Volume or MSDN licence.",no,proprietary," Enterprise Application Integration, Hub and Spoke architecture, Cloud ready"
",Flow Software Ltd,2.3.0," May, 2010"," Free Community Edition, and Enterprise licenses",no,proprietary,
",Red Hat,7.0,2018,,yes,based on Apache Software License
",IBM,10.0,March 2015,Varies between approximately 100 and 850 per Value Unit,no,proprietary,Enterprise Service Bus
",Informatica,8.5,October 2007," Varies: 50,000 - 100,000 generally",no,proprietary
"," JBoss, a division of Red Hat, Inc.",4.12,March 2013,Free / Commercial support available,yes,LGPL-lic," Enterprise Service Bus, Replaced by JBoss Fuse"
"," JBoss, a division of Red Hat, Inc.",5.1,February 2011,Free / Commercial support available,yes,LGPL-lic,Replaced by JBoss Fuse
",Magic Software Enterprises,4.0,May 2015,,No,proprietary,
",The Software Conservancy,3.4.6,February 2011,Free,yes,variant of MIT,
",OpenESB Community,3.1.2,December 2018,Free / Enterprise Edition with commercial support,yes,CDDL,
",OpenLink Software,7.2.5.1,2018-08-15,Varies,yes,Dual (GPL or proprietary),
",Oracle Corporation,12.1.3.0.0,June 2014,Varies,no,proprietary,
",no,proprietary,
",OW2 Consortium,3.1.3,July 2011,Free / Commercial support available,yes,LGPL-lic
",Progress Software,8.x,2011,,no,proprietary,Enterprise Service Bus
",SAP AG,7.5,2011,Varies,no,proprietary
",Apache Software Foundation,5.1.1,July 2014,free/commercial support available,yes,Apache Software License,
",Engineering group,3.0,May 2010,free / Commercial support,yes,LGPL-lic,
",Sun Microsystems,6,June 2008," $100 per employee per year subscription, perpetual per socket licensing available",no,proprietary,
",Automation Centre,4.0,June 2012," Based on number of users and modules utilized. Available as SaaS, or as a licensed installation.",no,proprietary,
",Unify Corporation,11,,,no,proprietary
",Software AG,9.0,May 2013,varies,no,proprietary,Enterprise Service Bus
",IBM,8.0,October 2011,No longer marketed under this name - replacement name is IBM Integration Bus,no,proprietary,Enterprise Service Bus
",WSO2,6.4,2018,Free / Commercial support available,Yes,Apache License 2.0," Enterprice Service Bus, Message Broker, Application Server, Business Process Server, Data Services Server"
",WSO2,5.0.0,2016,Free / Commercial support available,yes,Apache Software License,
