RFC,,,,,,,,,,,,,,,,,,,Description,Status,ejabberd,iChat Server,jabberd14,jabberd2,Metronome,MongooseIM,Openfire,Prosody,Sun Java System Instant Messaging Server,Tigase
RFC 3920,,,,,,,,,,,,,,,,,,,XMPP Core,Obsolete,Yes,unk,Yes,Yes,unk,Yes,Yes,Yes,unk,Yes
RFC 3921,,,,,,,,,,,,,,,,,,,XMPP IM,Obsolete,Yes,unk,Yes,Yes,unk,Yes,Yes,Yes,unk,Yes
RFC 3922,,,,,,,,,,,,,,,,,,,XMPP CPIM,Final,Yes,unk,unk,unk,unk,Yes,unk,unk,unk,unk
RFC 3923,,,,,,,,,,,,,,,,,,,XMPP E2E,Final,Yes,unk,unk,unk,unk,unk,unk,unk,unk,unk
RFC 4854,,,,,,,,,,,,,,,,,,,XMPP URN,Informational,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk
RFC 4979,,,,,,,,,,,,,,,,,,,XMPP ENUM,Final,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk
RFC 5122,,,,,,,,,,,,,,,,,,,XMPP URI,Final,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk
RFC 6120,,,,,,,,,,,,,,,,,,,XMPP Core,Final,Yes,unk,Yes
RFC 6121,,,,,,,,,,,,,,,,,,,XMPP IM,Final,Yes,unk,Yes
RFC 6122,,,,,,,,,,,,,,,,,,,XMPP AF,Obsolete,Yes,Yes,unk,Yes
RFC 7395,,,,,,,,,,,,,,,,,,,XMPP WebSockets,Proposed,Yes,unk,unk,unk,Yes,Yes,Yes,unk,Yes
RFC 7622,,,,,,,,,,,,,,,,,,,XMPP AF,Final,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk
