IDE,Developer,Latest stable release,Platform,License
Eclipse DLTK,,5.0," Windows, JVM, Solaris",EPL
Komodo IDE / Edit,ActiveState,9.0.1,Cross-platform," IDE:Proprietary, Edit:MPL"
SlickEdit,SlickEdit,October 2016 v.21," Solaris, HP-UX",Proprietary
