Provider,Win.11,Linux11,Mac11,Android11,iOS11,Encrypted storage,Zero knowledge22,Secure Key Management33,Limited MB plan44,Unlimited MB plan44,$/MB plan44,Unlimited BW 1616,Provider,Cloud hosted Net Drive55,Sync77,Autodetect changes1212,Public file hosting88,physical media restore99,Server location(s)1010,Free online storage (non-trial)1313,Maximum per-file size,External hard drive support1414,Hybrid Option1515,Green Hosting,OpenSaaS
Acronis,yes," Enterprise only, with limited data",yes,yes,yes,yes,Optional,yes,optional (Enterprise),yes (Only win/mac),no,yes,Acronis,no,yes,,,," USA, EUR",no,No limit,yes,,,
Backblaze,yes,yes,yes,yes,yes,yes,no,No limit,yes,no,,
Barracuda Backup Service,yes,yes,yes,,,yes,no,?,no fee per computer,no,yes,,Barracuda Backup Service,date=June 2014,yes,,no,yes," USA, Canada, APAC, EUR",no,,,dunno,,
Baidu Cloud,yes,yes,yes,yes,yes,yes,no,?,no,no,yes,,Baidu,,yes,yes,yes,,CHN,2 TB,4 GB (Non-member) 10 GB (Member) 20 GB (Super Member).,,dunno,,
Box,yes," Partial (no offline sync, access through DAV server)",yes,yes,yes,yes,no,yes,yes,,,USA,10 GB,250 MB (Free) 5 GB (Paid),,,,
Carbonite,yes,no,yes,yes,yes,yes," partial, optional for Windows only",?,yes (Business only),yes (Home only),no,yes,Carbonite,,yes,yes,yes,,USA,no,4 GB,yes,yes,,
CloudBerry Backup,yes,yes,yes,no,no,yes,date=August 2018,yes,,,,yes,CloudBerry Backup,yes,yes,yes,,yes,Global,no,No limit,yes,yes,,
CloudMe,yes,yes,yes,yes,yes,date=July 2014,,?,,no,,yes,CloudMe,yes,yes,yes,,,SWE,3 GB,150 MB (Free Accounts) No limit (Premium Accounts),No Limit,No,,
Comodo Backup,yes,no,no,,,yes,no,?,yes,no,yes (5),,Comodo Backup,no,no,,no,,USA,no,,,,,
CrashPlan,yes,yes,yes,yes,yes,yes," yes, except for web restore",yes," yes, 10TB",no,no,yes,CrashPlan,no,no,yes,no,no,"  USA, AUS",no,No Limit,yes,no,,
Dropbox,yes,Does not work on filesystems other than ext4,yes,yes,yes,yes,no,?,,,yes,,Dropbox,no,yes,yes,yes,,,2 GB,No Limit,,,,no
Dropmysite,yes,yes,yes,,,yes,no,?,yes,no,no,yes,Dropmysite,,yes,yes,yes,,Global,2 GB,No limit,,dunno,,
Egnyte,yes,yes,yes,,,optional,optional,yes,yes,yes,,USA,no,No limit,,?,,
ElephantDrive,yes,yes,yes,yes,,yes,optional (off by default),?,yes,no,,,ElephantDrive,yes,yes,yes,yes,,USA,2 GB,,yes,?," no, Amazon AWS",
Google Drive,yes," no, no provider-sanctioned Linux support.",yes,yes,yes,yes,no,?,,yes (Enterprise Only),yes,yes,Google Drive,no,yes,yes,yes,," USA, Worldwide",15 GB,5 TB,,,partial: 34%,no
IASO Backup,yes,yes,yes,,yes,yes,yes,?,yes,no,yes,,IASO Backup,no,no,no,yes,," USA, Worldwide",no,No limit,yes,yes,,
iCloud,yes," yes, via Storage Made Easy client",yes," yes, via Storage Made Easy client",yes,yes,no,?,no,no,yes,,iCloud,dunno,yes,dunno,dunno,,CHN for mainland China accounts; unknown for others,1 GB (everyone)  5 GB (Apple users only),,,," yes, 94%",no
iDrive,yes," yes, but you have to manually run perl scripts.",yes,yes,yes,yes,no,,no,no,yes,,iDrive,,yes,yes,yes,yes,unknown,5 GB,,yes,,,
Infrascale,yes,yes,yes,yes,yes,yes,optional,optional,yes,yes,no,yes,Infrascale,no,yes,yes,yes,yes," USA, CAN, UK, ZAF, AUS, NZ, JAM",no,No limit,yes,optional,,
Iperius Online Storage,yes,no,no,,,yes,Optional,?," 50, 100, 200, 500 GB",no,no,yes,Iperius Online Storage,,yes,yes,no,Iperius Online Storage,,,No limit,,,,
Intronis,yes,no,yes,yes,yes,yes,yes,configurable,yes,no,yes,yes,Intronis,yes,yes,yes,no,yes," USA, CAN",no,No limit,yes,optional,yes,
Jumpshare,yes,no,yes,no,yes,yes,,,yes,no,no,yes,Jumpshare,,yes,yes,yes,no," USA, EUR",2 GB," 250 MB on free, Unlimited on Jumpshare Plus",,,yes,
Jungle Disk,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,," USA, EUR",no,No limit in Backup Vault,yes,," partial, Amazon AWS or Rackspace Cloud Files.",
KeepVault,yes,no,no,,,yes,yes,?,yes,no,yes,,KeepVault,,,yes,,,USA,,20 GB,,,,
Livedrive,yes,no,yes,yes,yes,no,no,?,yes,Online Backup only,no,yes,Livedrive,yes (paid-only),yes,yes,yes,yes,UK,no,No limit,yes,,,
MediaFire,yes,Upload only [http://www.omgubuntu.co.uk/2012/04/mediafire-jump-on-cloud-storage-bandwagon-offer-linux-uploader],yes,yes,yes,no,no,?,yes,no,yes,yes,MediaFire,no,yes,yes,yes,,USA,10 GB,No Limit,no,no,,
Mega,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,Mega Ltd.,no,yes," yes, using MEGAsync client",yes,no," EUR, NZ",15 GB + 35 GB first 30 days,No limit,no,no,,
MiMedia,Yes,No,No,,,Yes,no,?,Yes,No,Yes,Yes,MiMedia,No,No,Yes,No,No,USA,7 GB,3 GB,Yes,,,
