[],
|N/A,|N/A,|1971 - Nov 15,|N/A,|740kHz,|DIP,|10-micron,|,|1,|N/A,|N/A,|N/A,|N/A,
|N/A,|N/A,|1972 - April,|N/A,|200kHz - 800kHz,|DIP,|10-micron,|,|1,|200kHz,|N/A,|N/A,|N/A,|,
|N/A,|N/A,|1974 - April,|N/A,|2MHz - 3.125MHz,|DIP,|6-micron,|,|1,|2MHz,|N/A,|N/A,|N/A,|,
|N/A,|N/A,|1976 - March,|N/A,|3MHz 5MHz 6MHz,|DIP,|3-micron,|,|1,|2MHz,|N/A,|N/A,|N/A,|,
|N/A,|N/A,|1978 - June 8,|N/A,|10MHz 8MHz 4.77MHz,|DIP,|3-micron,|,|1,|10MHz 8MHz 4.77MHz,|N/A,|N/A,|N/A,|,
|N/A,|N/A,|1979 - June,|N/A,|8MHz 4.77MHz,|DIP,|3-micron,|,|1,|8MHz 4.77MHz,|N/A,|N/A,|N/A,|,
|N/A,|N/A,|1982 - Feb,|N/A,|12MHz 10MHz 6MHz,|DLPP,|1.5-micron,|,|1,|12MHz 10MHz 6MHz,|N/A,|N/A,|N/A,|,
|DX SX SL,|N/A,|1985 - 1990,|N/A,|33MHzbr /25MHzbr /20MHzbr /16MHz,|DLPP,|1 - 1.5-micron,|,|1,|33MHzbr /25MHzbr /20MHzbr /16MHz,|N/A,|N/A,|N/A,|,
|DX SX DX2 DX4 SL,|N/A,|1989 - 1992,|N/A,|25MHz - 100MHz,|Socket 1 Socket 2 Socket 3,|1 - 0.6-micron,|,|1,|25MHz - 50MHz,|8 KiB - 16 KiB,|N/A,|N/A,|,
| N/A,| P5 P54C P54CTB P54CS,| 1993 - 1999,|,| 65MHz - 250MHz,| [[Socket 2]] [[Socket 3]] [[Socket 4]] [[Socket 5]] [[Socket 7]],| 800nm - 350nm,| Unknown,| 1,| 50MHz - 66MHz,| 16 KiB,| N/A,| N/A,|,
| N/A,| P55C Tillamook ,| 1996 - 1999,|,| 120MHz - 300MHz,| [[Socket 7]],| 350nm - 250nm,| Unknown,| 1,| 60MHz - 66MHz,| 32 KiB,| N/A,| N/A,|,
| Z5xx Z6xx N2xx 2xx 3xx N4xx D4xx D5xx N5xx D2xxx N2xxx,| [[Intel Atom#Diamondville|Diamondville]],[[Intel Atom#Pineview|Pineview]],[[Intel Atom#Silverthorne|Silverthorne]],[[Intel Atom#Lincroft|Lincroft]],[[Intel Atom#Cedarview|Cedarview]],[[Atom (system on chip)|Medfield]],[[Atom (system on chip)|Clover Trail]],| 2008 - 2009 (as Centrino Atom),2008–present (as Atom),|,| 800MHz - 2.13GHz,| Socket PBGA437,Socket PBGA441 Socket micro-FCBGA8 559,| 32nm 45nm,| 0.65 W - 13 W,| 1 2 or 4,| 400MHz 533MHz 667MHz 2.5 GT/s,| 56 KiB per core,| 512 KiB - 1 MiB,| N/A,|,
