Operator,Languages
+," BASIC, C#, Cobra, Pascal, Eiffel, Go, Java, Python, Turing, Ruby, Rust, Swift, F#, Scala, Ya"
++," Haskell, Erlang"
$+,mIRC Scripting Language
;," Ada, Curl, Excel, FreeBASIC"
nconc,Common Lisp
.," Maple (up to version 5), Autohotkey"
~,Raku and D
,," Icon, Standard Maple (from version 6)"
," Mathematica, Wolfram Language"
..,Lua
:,Pick Basic
", ",APL
^," F#, rc"
//,Fortran
*,Julia
