" width=""10%"" Feature"," width=""10%"" Android"," width=""10%"" iOS"," width=""10%"" Tizen"," width=""10%"" Sailfish OS"," width=""10%"" Ubuntu Touch"
Safe driving mode,No2 3rd party software,11+,?,?,?
Turn-by-turn navigation,2+,6+,?,Yes,No2 3rd party software
Offline maps,"No2 3rd party software Google Maps, Here WeGo",6+,?,No2 3rd party software,No2 3rd party software
Alternative routes in maps,Yes,5+,?,No2 3rd party software,No2 3rd party software
