Software,Developer,First public release,Latest stable date (version),Cost (USD),Open source,License,Linux,Mac OS X,Windows,Framework
[http://code.google.com/p/jdigest/ jdigest],gdassieu,2009-09-10,2011-06-05 (0.3.0),free,yes,GPL,yes,yes,yes,Java
[http://jhashcalc.sourceforge.net jHashCalc],Death Master,2007-10-01,2008-10-18 (1.2),free,yes,GPL,dunno,dunno,dunno,Java
[http://jacksum.net/en/index.html Jacksum],Johann N. Löfflmann,2002-07-07,2006-07-30 (1.7.0),free,yes,GPL,yes,yes,yes,Java
[http://www.digital-tronic.com/md5-file-hasher MD5 File Hasher],Digital-Tronic,2012,20150818 (1.5.0.1),free,no,freeware/shareware,no,no,yes,dunno
[http://raylin.wordpress.com/downloads/md5-sha-1-checksum-utility/ MD5  ; SHA Checksum Utility],Raymond Lin,2013-06-03,2.1,various,no,freeware/shareware,no,no,yes,.NET
md5deep (and HashDeep),Jesse Kornblum,2003,2014-01-29 (4.4),free,yes,public domain,yes,yes,yes,C++
md5sum,various (POSIX),dunno,various,free,yes,various,yes,group=Notecalled_md5_on_mac,yes,dunno
[http://www.md5summer.org/ MD5summer],Luke Pascoe,dunno,2006-04-05 (1.2.0.11),Free,yes,GPL / [http://www.md5summer.org/Postcards/index.html postcards],no,no,yes,(Delphi 7)
[http://apps.microsoft.com/windows/en-us/app/md5-win-verifier/0c116c08-0bd6-42c4-80e3-476a7df6d934 MD5 Win Verifier],Serafino Sorleti,2014-03-06,2014-06-19 (1.1.0.5),free,no,freeware,no,no,yes,.NET
[https://www.peazip.org PeaZip],Giorgio Tani,2006-09-16,2019-12-01 (7.0.0),free,yes,LGPL,yes,no,yes,Free Pascal
[http://www.quicksfv.org QuickSFV],Mercedes,1999-11-22,2008-03-13 (2.36),Free,no,freeware,yes,no,yes,dunno
[http://rapidcrc.sourceforge.net RapidCRC],dunno,2004,2005-02-05 (0.6.1),Free,yes,GPL,no,no,yes,dunno
[http://www.kifoth.de/jane/misc/#RekSFV RekSFV]," TryAndError, Inc.",2006,2019-02-23 (v1.8.1),Free,no,freeware,no,no,yes,VCL
[http://rhash.sourceforge.net/ RHash],Aleksey (Akademgorodok),dunno,2019-02-09 (v1.3.8),Free,yes,freeware,yes,no,yes,C
[http://mindbytez.com/ SafeFileManager],Mindbytez Software,2012-11,2018-08-27 (v1.2),Free,no,freeware,yes,no,yes,Java
[https://technet.microsoft.com/en-us/sysinternals/bb897441.aspx Sigcheck],Mark Russinovich (Sysinternals - Microsoft),?,2016-07-29 (v2.53),Free,no,freeware / [https://technet.microsoft.com/en-us/sysinternals/bb847944 Licensing FAQ],no,no,yes,?
[http://www.traction-software.co.uk/sfvchecker SFV Checker],Traction Software,dunno,2018-08-13 (2.04),various,no,proprietary,no,no,yes,dunno
sha1sum,various (POSIX),dunno,various,free,yes,various,yes,yes,yes,dunno
sha3sum,various (POSIX),dunno,various,free,yes,various,yes,yes,yes,Perl
SuperSFV,Thomas Dixon,dunno,1.2,free,yes,GPL,no,yes,no,dunno
TeraCopy,Code Sector,2007,2017-02-23 (v3.0),various,no,freeware/shareware,no,yes,yes," Swift, Delphi"
[https://www.mannerud.org/tom-andreas/software/toms-hash-explorer/ Toms Hash Explorer],Tom Andreas Mannerud,2016,2016-08-19 (1.2.0.0),free,no,freeware,no,no,yes,.NET
[http://www.toolsley.com/hash.html Toolsley Hash  ; Validate],Toolsley.com,2014,various,free,no,freeware/shareware,yes,yes,yes,dunno
Total Commander,Christian Ghisler,2010-06-17,2019-03-14 (9.22)," CHF40, €37, US$41.79",no,proprietary,no,no,yes,Delphi
[https://github.com/gpfjeff/winhasher WinHasher],Jeffrey T. Darlington,2007-09-26,2013-08-02 (v1.6.2.67),free,yes,GPL,no,no,yes,.NET 2.0
[http://wxchecksums.sourceforge.net/ wxChecksums],Julien Couot,2003,2006-03-04 (v1.2.2),free,yes,GPL,yes,dunno,yes,GTK
Software,Developer,First public release,Latest stable date (version),Cost (USD),Open source,License,Linux,Mac OS X,Windows,Framework
