Program,ARWSony,CR2Canon,DNGAdobe,NEFNikon,ORFOlympus,PEFPentax,RAFFujifilm,SRWSamsung,X3FSigma,Others,Notes
scope="row"  ACDSee,ARW,CR2,DNG,NEF,ORF,PEF,RAF,SRW,X3F," cRAW, CRW, DCR, ERF, HDR, MRW, RAW, RWL, sRAW  ",[http://www.acdsee.com/en/support/file-formats]
scope="row"  Aperture,ARW,CR2,DNG,NEF,ORF,PEF,RAF,SRW,X3F," CRW, MOS, RAW, FFF, 3FR ",[https://www.apple.com/aperture/specs/raw.html]
scope="row"  digiKam,ARW,CR2,DNG,NEF,ORF,PEF,RAF,SRW,X3F,Several,[https://web.archive.org/web/20160304201129/https://docs.kde.org/trunk4/en/extragear-graphics/digikam/using-fileformatsupport.html][https://web.archive.org/web/20161019024525/http://www.cybercom.net/~dcoffin/dcraw/]
scope="row"  F-Spot,ARW?,CR2,DNG,NEF,ORF,PEF,RAF,SRW?,X3F?," CRW, MRW, RAW, SRF"
scope="row"  FastPictureViewer(registered edition),ARW,CR2,DNG,NEF,ORF,PEF,RAF,SRW,X3F," NRW, RW2, SR2, SRF, RWZ etc. ",[http://www.fastpictureviewer.com/formats/]
scope="row"  FastStone Image Viewer,ARW,CR2,DNG,NEF,ORF,PEF,RAF,SRW,X3F," CR3, CRW, NRW, RWL, MRW, SR2, SRF, RW2",[https://www.faststone.org/FSViewerDetail.htm]
scope="row"  Geeqie,ARW,CR2,DNG,NEF,ORF,PEF,RAF,SRW?,X3F,"  3FR, CRW, DCR, ERF, K25, KDC, MEF, MOS, MRW, PTX, R3D, RAW, SR2, SRF"
scope="row"  IrfanView,ARW,CR2,DNG,NEF,ORF,PEF,RAF,SRW,X3F," CRW, EEF, DCR, MRW, NRW, RW2, SRF  ",[http://www.irfanview.com/main_formats.htm]
scope="row"  Phase One Media Pro,ARW?,CR2?,DNG,NEF,ORF?,PEF?,RAF,SRW,X3F?," CRW, MOS, RAW"
scope="row"  Picasa,ARW,CR2,DNG,NEF,ORF,PEF,RAF,SRW,X3F," 3FR, CRW, DCR, KDC, MRW, NRW, RAW, RW2, SRF, SR2 ",[https://support.google.com/picasa/answer/15625?hl=en]
scope="row"  Shotwell,ARW?,CR2?,DNG?,NEF?,ORF?,PEF?,RAF?,SRW?,X3F?,," Support "limited", export 8-bit only [http://yorba.org/shotwell/help/formats.html]"
scope="row"  XnView and XnViewMP,ARW,CR2,DNG,NEF,ORF,PEF,RAF,SRW,X3F," CRW, RWZ and more ",[http://www.xnview.com/en/xnview/#formats]
scope="row"  Zoner Photo Studio,ARW,CR2,DNG,NEF,ORF,PEF,RAF,SRW,X3F," 3FR, CRW, ERF, KDC, MEF, MRW, RAW, RW2, RWZ, SR2, SRF ",[https://www.zoner.com/en/system-requirements]
