",sRGB,Adobe sRGB,Indexed,Grayscale,CMYK,LAB,HSV
"!,yes,dunno,yes,yes,Import only,,
"!,yes,dunno,yes,yes,yes,,
"!,yes,yes,yes,yes,no,no,no
"!,yes,yes,Import only,Import only,yes,Import only,Import only
"!,yes,yes,yes,yes,yes,no,yes
"!,yes,yes,yes,yes,yes,yes,yes
"!,yes,yes,dunno,yes,Import only,dunno,dunno
"!,yes,yes,yes,yes,yes,yes,yes
"!,yes,dunno,yes,no,no,,
"!,yes,yes,yes,Import only,Import only,Import only,Import only
"!,yes,dunno,no,no,no,,
"!,yes,dunno,dunno,dunno,dunno,,
"!,yes,yes,dunno,yes,dunno,dunno,dunno
"!,yes,dunno,dunno,dunno,dunno,,
"!,yes,yes,yes,yes,yes,yes,yes
"!,yes,no,yes,yes,partial,no,partial
"!,yes,yes,no,yes,yes,yes,
"!,yes,yes,yes,yes,yes,,
"!,yes,yes,yes,yes,yes,partial
"!,yes,dunno,no,no,yes,,
"!,yes,yes,yes,yes,yes,yes,
"!,yes,yes,dunno,dunno,dunno,yes,dunno
"!,yes,dunno,yes,yes,no,,yes
"!,yes,yes,yes,yes,yes,no,yes
"!,yes,no,partial,partial,partial,no,partial
"!,yes,no,Import only,Import only,Import only,no,no
"!,yes,yes,yes,yes," partial"," partial",yes
"!,yes,yes,yes,yes,partial,no,yes
"!,no,no,yes,no,no,no,no
"!,yes,yes,yes,yes,yes,,
"!,yes,yes,dunno,yes,yes,,
"!,yes,yes,no,yes,yes,yes,yes
"!,yes,dunno,yes,yes,no,,
"!,yes,yes,yes,yes,yes,yes,yes
"!,yes,dunno,no,yes,no,,
"!,yes,yes,no,yes,yes,yes,yes
"!,no,no,no,yes,no,,
"!,yes,dunno,dunno,dunno,no,,
"!,yes,dunno,Import only,no,no,no,no
"!,yes,dunno,yes,yes,no,,
"!,yes,dunno,dunno,yes,dunno,dunno,dunno
"!,yes,dunno,dunno,yes,no,,
"!,yes,no,partial,partial,partial,no,partial
"!,yes,no,dunno,yes,dunno,dunno,dunno
"!,no,dunno,yes,no,no,,
"!,yes,yes,yes,yes,yes,,
"!,yes,yes,yes,yes,yes,yes,yes
"!,yes,Import only,no,yes,Import only,Curve editing only,no
"!,yes,yes,no,yes,yes,yes,yes
"!,yes,no,no,partial,no,no,no
"!,yes,dunno,partial,partial,no,,
"!,yes,no,no,yes,yes,yes,yes
"!,yes,yes,yes,yes,no,,
"!,yes,yes,yes,no,no,no,no
"!,yes,dunno,no,no,no,,
"!,yes,dunno,no,no,no,,
"!,yes,yes,yes,yes,yes,,
"!,yes,yes,no,yes,no,yes,yes
"!,yes,yes,dunno,yes,yes,dunno,dunno
"!,yes,yes,dunno,yes,yes,dunno,dunno
"!,yes,no,no,no,no,no,no
"!,yes,dunno,no,no,no,,
"!,yes,yes,yes,yes,Import only,no,yes
"!,yes,dunno,yes,yes,no,,
"!,yes,dunno,dunno,dunno,yes,,yes
"!,yes,partial,partial,partial,partial,no,partial
"!,yes,dunno,yes,yes,partial,no,partial
"!,yes,no,partial,yes,no,no,no
"!,yes,yes,yes,yes,partial,partial,no
