[Country code]] , , Country , , Speed limit on [[motorway]] (km/h) , , Speed limit on [[dual carriageway]] (km/h) , , Speed limit on [[single carriageway]] (km/h) , , Speed limit in urban area , , Permitted alcohol level (%) , , Toll roads]] , , Seatbelt required , , Minimum child age (front seat) , , Triangle required , , First aid required , , Fire extinguisher required , , Spare bulb required , , Minimum driver's age , , Tow rope required
],
|| {{ALB}} , 110 , {{n/a}} , 90 , 40 , 0 , , {{Yes}} , {{n/a}} , {{partial|Recommended}} , {{partial|Recommended}} , {{partial|Recommended}} , {{No}} , 18 , {{Yes}},
|| {{FIN}} , 120 , {{n/a}} , 80 , 50 , 0.05 , {{No}} , {{yes|All}} , 3 , {{Yes}} , {{partial|Recommended}} , {{partial|Recommended}} , {{No}} , 17 , {{Yes}},
|| {{LIE}} , {{n/a}} , {{n/a}} , 80 , 50 , 0.08 , , {{yes|All}} , {{n/a}} , {{Yes}} , {{Yes}} , {{partial|Recommended}} , {{No}} , 18 , {{Yes}},
|| {{UK}} , 112 , 112 , 97 , 48 , 0.08 ,(0.05 Scotland) ,, , {{yes|All}} , {{n/a}} , {{partial|Recommended}} , {{partial|Recommended}} , {{partial|Recommended}} , {{No}} , 17 , {{Yes}},
|| {{GRC}} , 130 , {{n/a}} , 90 , 50 , 0.05 , , {{yes|All}} , 12 , {{Yes}} , {{Yes}} , {{Yes}} , {{No}} , 18 , {{Yes}},
|| {{HUN}} , 130 , 110 , 90 , 50 , 0 , {{Yes}} , {{yes|All}} , 12 , {{Yes}} , {{Yes}} , {{partial|Recommended}} , {{No}} , 18 (17 with supervision of someone with 10+ years drive-experience) , {{Yes}},
|| {{HRV}} , 130 , 110 , 80 , 50 , 0.05 , {{Yes}} , {{yes|All}} , 12 , {{Yes}} , {{Yes}} , {{partial|Recommended}} , {{Yes}} , 18 , {{No}},
|| {{ITA}} , 130 , 110 , 90 , 50 , 0.05 ,{{Yes}} , {{yes|All}} , 12 , {{Yes}} , {{partial|Recommended}} , {{partial|Recommended}} , {{No}} , 18 , {{Yes}},
|| {{IRL}} , 120 , {{n/a}} , 100 , 50 , 0.05 , {{Yes}} , {{yes|All}} , {{n/a}} , {{partial|Recommended}} , {{partial|Recommended}} , {{partial|Recommended}} , {{No}} , 17 , {{Yes}},
|| {{ISL}} , {{n/a}} , {{n/a}} , paved road - 90 gravel road 80 , 50 , 0.05 , , {{yes|All}} , 14 , {{Yes}} , {{partial|Recommended}} , {{partial|Recommended}} , {{No}} , 17 , {{Yes}},
|| {{LUX}} , 130 , {{n/a}} , 90 , 50 , 0.05 , , {{yes|All}} , 11 , {{Yes}} , {{partial|Recommended}} , {{partial|Recommended}} , {{No}} , 18 , {{Yes}},
|| {{LTU}} , 130 , 110 , 90 , 50 , 0.04 , , {{yes|All}} , 12 , {{Yes}} , {{Yes}} , {{Yes}} , {{No}} , 18 , {{No}},
|| {{LVA}} , {{n/a}} , 90 , 90 , 50 , 0.05 , , {{yes|All}} , , {{Yes}} , {{Yes}} , {{Yes}} , {{No}} , 18 , {{Yes}},
|| {{MLT}} , {{n/a}} , {{n/a}} , 80 , 50 , 0.08 , , {{Yes}} , 11 , {{partial|Recommended}} , {{partial|Recommended}} , {{partial|Recommended}} , {{No}} , 18 , {{Yes}},
|| {{MCO}} , {{n/a}} , {{n/a}} , , 50 , 0.05 , , {{n/a}} , 10 , {{partial|Recommended}} , {{partial|Recommended}} , {{partial|Recommended}} , {{No}} , 18 , {{Yes}},
|| {{MDA}} , {{n/a}} , {{n/a}} , 90 , 50 , 0 , , {{yes|All}} , 12 , {{Yes}} , {{Yes}} , {{Yes}} , {{No}} , 18 , {{Yes}},
|| {{MKD}} , 130 , {{n/a}} , 80 , 60 , 0.05 , {{Yes}} , {{yes|All}} , 12 , {{Yes}} , {{Yes}} , {{partial|Recommended}} , {{Yes}} , 18 , {{Yes}},
|| {{MNE}} , 120 , {{n/a}} , 80 , 50 , 0.05 , {{Yes}} , {{yes|All}} , 12 , {{Yes}} , {{partial|Recommended}} , {{partial|Recommended}} , {{No}} , , {{Yes}},
|| {{NOR}} , 110 , {{n/a}} , 80 , 50 , 0.02 , {{Yes}} , {{yes|All}} , {{n/a}} , {{Yes}} , {{partial|Recommended}} , {{partial|Recommended}} , {{No}} , 18 , {{Yes}},
|| {{NLD}} , 130 , 100 , 80 , 50 , 0.05 , {{Yes}} , {{yes|All}} , 12 , {{partial|Recommended}} , {{partial|Recommended}} , {{partial|Recommended}} , {{No}} , 18 (17 with supervision of someone with 5+ years drive-experience), {{Yes}},
|| {{PRT}} , 120 , 100 , 90 , 50 , 0.05 , {{Yes}} , {{yes|All}} , 12 , {{Yes}} , {{partial|Recommended}} , {{partial|Recommended}} , {{No}} , 18 , {{Yes}},
|| {{POL}} , 140 , 100 (120 on expressways) , 90 (100 on expressways) , 50 (5–23) 60 (23–5) , 0.02 , {{Yes}} , {{yes|All}} , {{n/a}} , {{Yes}} , {{partial|Recommended}} , {{Yes}} , {{No}} , 18 (16 for B1 cars) , {{No}},
|| {{ROU}} , 130 , 100 (110 on expressways), 90 , 50 , 0 , {{Yes}} , {{yes|All}} , 12 , {{Yes}} , {{Yes}} , {{Yes}} , {{No}} , 18 (16 for B1 cars) , {{No}},
|| {{SMR}} , {{n/a}} , {{n/a}} , 70 , 50 , 0.08 , , {{yes|All}} , 12 , {{partial|Recommended}} , {{partial|Recommended}} , {{partial|Recommended}} , {{No}} , 18 , {{Yes}},
|| {{RUS}} , 110 , {{n/a}} , 90 , 60 , 0 , {{Yes}} , {{yes|All}} , 12 , {{Yes}} , {{Yes}} , {{Yes}} , {{No}} , 18 , {{Yes}},
|| {{SWE}} , 110 , {{n/a}} , 70 , 50 , 0.02 , {{Yes}} , {{yes|All}} , {{n/a}} , {{Yes}} , {{partial|Recommended}} , {{partial|Recommended}} , {{No}} , 18 , {{No}},
|| {{SVK}} , 130 , 130 , 90 , 50 , 0 , {{Yes}} , {{yes|All}} , 12 , {{Yes}} , {{Yes}} , {{partial|Recommended}} , {{Yes}} , 18 (17 with supervision of someone with 10+ years drive-experience) , {{Yes}},
|| {{SVN}} , 130 , 100 , 90 , 50 , 0.05 , , {{yes|All}} , 12 , {{Yes}} , {{Yes}} , {{partial|Recommended}} , {{No}} , 18 , {{Yes}},
|| {{SRB}} , 120 , 100 , 80 , 50 , 0.03 , {{Yes}} , {{yes|All}} , 12 , {{Yes}} , {{Yes}} , {{Yes}} , {{No}} , 18 , {{Yes}},
|| {{TUR}} , 120 , 110 (cars) / 90 (rest) , 90 , 50 , 0.05 , {{Yes}} , {{yes|All}} , 10 , {{Yes}} , {{Yes}} , {{Yes}} , {{No}} , 18 , {{Yes}},
|| {{UKR}} , 130 , 110 , 90 , 50 , 0 , {{Yes}} , {{yes|All}} , 12 , {{Yes}} , {{Yes}} , {{Yes}} , {{No}} , 18 , {{Yes}},

,
