Model,Launch,Microarchitecture,Code name,Fab (nm),Bus interface,Clock rate,,Core config1,Fillrate,,Memory,,,,Processing power(GFLOPS),,API compliance (version),,,,TDP (Watts),Notes
,,,,,,Core (MHz),Memory (MHz),,Pixel (GP/s),Texture (GT/s),Size (GiB),Bandwidth (GB/s),Bus type,Bus width (bit),Single precision,Double precision,Direct3D,OpenGL,OpenCL,Vulkan,,
FirePro D300," January 18, 2014",Southern Islands,Pitcairn XT GL,28,PCIe 3.0 x16,850,1270,1280:80:32:20,,,2,162.6,PCIe 3.0 x16,256,2176,136,11.1,4.6,1.2,1.1.101,150,
FirePro D500," January 18, 2014",,Tahiti LE GL,,,725,1270,1536:96:32:24,,,3,243.8,,,2227,556.8,,,,,,
FirePro D700," January 18, 2014",,Tahiti XT GL,,,850,1370,2048:128:32:32,,,6,263,,,3482,870.4,,,,,,
