Meaning and description,Spanish,Portuguese
yes,sí,align=center sim  ;thinsp;[sĩ ;thinsp;]
" himself / herself / itself / themselves  (stressed reflexive pronoun, object of preposition) ",,align=center se
if (conjunction),align=center si,se
/oneself" /yourself" / itself / themselves  (unstressed reflexive pronoun),align=center se,
