,included chess engine(s),Can open/save PGN,Can import UCI engines,Levels,3D or Animated pieces,Variants,Multiplayer
Aquarium," Crafty, Delfi, Rybka, Spike ",yes,yes," multivariation, uci_elo",no,Chess960,no
Battle Chess,n/a,no,no,,yes,no,
Battle Chess: Game of Kings,n/a,no,no,,yes,no,
Battle vs. Chess,Fritz,no,no,levels 1-9,yes,,
Chessaria: The Tactical Adventure,Chessaria AICE,no,no,,yes,yes,yes
Chess Assistant," Dragon, Rybka",yes,yes," multivariation, uci_elo",no,Chess960,no
Chessbase,Fritz,yes,yes,uci_elo for analysis but no timed games,yes,Chess960,no
Chessmaster,The King,yes,no,Personalities with Elo ratings,yes,no,no longer supported
Chess Titans,n/a,no,no,yes,no,no,
ChessV,,,,,,,
Fritz,Fritz,yes,yes," Friend Mode, Handicap and Fun, uci_elo",yes,Chess960,
Fritz and Chesster,Koenig Schwarz,,,,,
GNOME Chess,,,,,,
GNU Chess,GNU chess,yes,no,,no," Knightmate, Capablanca, Gothic, Shatranj, Courier, Cylinder, Berolina",no
Hiarcs Chess Explorer,Hiarcs,yes,yes,uci_elo,no,no,no
Houdini,Houdini,yes,yes," Friend Mode, Handicap and Fun, uci_elo",yes,Chess960,yes
Junior,Junior,yes,yes," Friend Mode, Handicap and Fun, uci_elo",yes,Chess960,yes
Komodo,Komodo,yes,yes," Friend Mode, Handicap and Fun, uci_elo",yes,Chess960,yes
Playchess,none,yes,no,Other players have Elo rating,no,Chess960,yes
Play Magnus,Glaurung,yes,no,can choose Magnus age,no,no,no
Pure Chess,n/a,no,no,,yes,,
pyChess,"Pychess engine, Stockfish",yes,yes,,,,yes
Chessbase Rybka,Rybka,yes,yes," Friend Mode, Handicap and Fun, uci_elo",yes,Chess960,yes
Shredder UCI GUI,Shredder,yes,yes,uci_elo,no,Chess960,no
Wii Chess,Loop Express,no,no,,,,
Winboard/xBoard,Crafty,yes,via UCI2WB,no,no," Knightmate, Capablanca, Gothic, Shatranj, Courier, Cylinder, Berolina",yes
