Assembler,Developer,Operating system,FOSS,License,Development active
Microsoft MACRO-80,Microsoft,"ISIS-II, TRSDOS, TEKDOS, MSX-DOS",No,Commercial,No
Zeus Assembler,Crystal Computing,,No,Commercial,No
[http://savannah.nongnu.org/projects/z80asm z80asm],,Windows,Yes,GNU GPLv3,No
