[ Software
, Version
, Operating systems
, Developer
, License]]
],
| 3.1,| [[Microsoft Windows|Windows]],| Hemi-Synths Explorers,| [[Proprietary software|Proprietary]],
|3.1.4,|[[iOS]],|Tomáš Baculák,|[[Proprietary software|Proprietary]],
|3.7.0,|[[iOS]],|Tomáš Baculák,|[[Proprietary software|Proprietary]],
| 3.1,| [[Microsoft Windows|Windows]],| Noromaa Solutions Oy.,| [[Proprietary software|Proprietary]],
| 1.0.20100707,| [[FreeBSD]] [[Linux]] [[Mac OS X]] [[Microsoft Windows|Windows]],| gnaural,| [[GPL]],
| 6.0,| [[Microsoft Windows|Windows]],| Volition,| [[Proprietary software|Proprietary]],
| 2.0,| [[Android (operating system)|Android]],| Tensai,| [[Proprietary software|Proprietary]],
| 3.0.9.0,| [[Microsoft Windows|Windows]],| Transparent Corp.,| [[Proprietary software|Proprietary]],
| 1.2.2.0,| [[Microsoft Windows|Windows]],| Transparent Corp.,| [[Proprietary software|Proprietary]],
| 1.4.4,| [[DOS]] [[FreeBSD]] [[Linux]] [[Mac OS X]] [[Microsoft Windows|Windows]] [[WinCE]],| Uazu,| [[GPL]],
| 1.5,| [[Mac OS X]] [[iOS]],| RCS Software,| [[Proprietary software|Proprietary]],
| 3.2.1,| [[Linux]],| Stan Lysiak,| [[GPL]],
| 1.8,| [[iOS]],| CMLStudio,| [[Proprietary software|Proprietary]],
| 1.1,| [[Microsoft Windows|Windows]],| Steve Duell,| [[GPL]],
| 1.7,| [[Microsoft Windows|Windows]],| isone,| [[Proprietary software|Proprietary]],
| 5.3.5,| [[Microsoft Windows|Windows]],| CyberTeam Ltd.,| [[Proprietary software|Proprietary]],
,
