",","
Cross-language interoperability," yes (with Nashorn, JNA)"
External/native methods,yes,yes
Marshalling,External glue code needed,yes; metadata controlled
Pointers and arithmetics,yes,yes
Native types,yes,yes
Fixed-size buffers,no,yes
Explicit stack allocation,no,yes
Address-of,no,yes
Object pinning (fix variable to address),no,yes
