Name,Connectivity,,,,| OS compatibility,,,,,,,| Integrated software,| Protocol compliancy,
USB,,Wi-Fi,Bluetooth,Linux,Macintosh,Windows,,,,| [[USB mass storage device class|MSC]],| [[Media Transfer Protocol|MTP]],
,Mini-B port,,,,2.0,Mac OS X,[[Windows Vista|Vista]],[[Windows XP|XP]],[[Windows 2000|2000]],,,,[[Windows 9x|9x]]
,Archos 105,yes,yes,no,no,yes,yes,yes,yes,yes,yes,WMP through MTP,yes,{{yes}}
Archos 405,yes,yes,no,no,yes,yes,yes,yes,yes,yes,WMP through MTP,yes,yes
Archos 5,no,yes,yes,no,yes,yes,yes,yes,yes,yes2Me,WMP through MTP,yes,yes
Archos 605 WiFi / GPS,no,yes,yes,no,yes,yes,yes,yes,yes,yes,WMP through MTP,yes,yes
Archos 705 WiFi,no,yes,yes,no,yes,yes,yes,yes,yes,yes,WMP through MTP,yes,yes
Cowon A3,yes,yes,no,no,yes,yes,yes,yes,yes,yes2Me,jetAudio,yes,yes
Cowon D2,yes,yes,no,no,yes,yes,yes,yes,yes,yes,jetAudio,yes,yes
Cowon Q5W,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes2Me,jetAudio,yes,yes
Gigabeat T400,yes,yes,no,no,yes2No,no,yes,yes,no,no,WMP through MTP,no,yes
GP2X F-200,unk,yes,no,no,yes,yes,yes,yes,yes,no,n/a,n/a,n/a
iPod classic,no,yes,no,no,yes2No,yes,yes,yes,yes,no,iTunes,no,no
iPod nano 4G,no,yes,no,no,yes2No,yes,yes,yes,yes,no,iTunes,no,no
iPod touch 1G,no,yes,yes,no,no,yes,yes,yes,yes,no,iTunes,no,no
iPod touch 2G - 5G,no,yes,yes,yes,no,yes,yes,yes,yes,no,iTunes,no,no
iriver clix 2G,yes,yes,no,no,yes,yes,yes,yes,yes,yes,iriver plus Rhapsody,yes,yes
PSP Slim  ; Lite,yes,yes,yes,PSP Go only,yes,yes,yes,yes,yes,no,Media Go,yes,no
Samsung Galaxy Player,no,yes,yes,yes,no,no,yes,yes,no,no,WMP through MTP,no,yes
Samsung T10,yes,yes,no,yes,yes2No,no,yes,yes,no,no,EmoDio,no,yes
Samsung P2,yes,yes,no,yes,yes2No,no,yes,yes,no,no,EmoDio,yes,yes
Sansa Fuze,no,yes,no,no,yes,yes,yes,yes,yes,MSC,WMP through MTP,yes,yes
Sansa Fuze+,micro B,yes,no,no,yes,yes,yes,yes,yes,MSC,WMP through MTP,yes,yes
Walkman NWZ-A810 series,no,yes,no,no,yes,yes,yes,yes,yes,no,WMP through MTP,yes,yes
ZEN,yes,yes,no,no,yes2No,no,yes,yes,no,no,Creative MediaSource,no,yes
ZEN Vision W,yes,yes,no,no,yes2No,no,yes,yes,no,no,Creative MediaSource,no,yes
Zune,no,yes,yes,no,no,no,yes,yes,no,no,Zune Software,no,yes
ZVUE 260,unk,yes,no,no,no,yes,no,yes,no,no,ZAPP,no,no
