Brand,Model name,Sensor size,Effective megapixels,Lens mount,(% of the frame)Viewfinder coverage,Metering zones,Focus points,Lowest ISO,Highest ISO,data-sort-type=number (sensor) overall scoreDxO score,Noise levels: what is the highest ISO level that still gives a specific print quality?DxO ISO,(fps)Cont. shtg,(inch)LCD size,Live view,Movie mode,storageMemory card,Video,(W x H x D)Dimensions (mm),Weight (g),Announced (date),Reference
Canon,50D,APS-C,15.1," EF, EF-S",95,35,9,100,12800,63,696,6.3,3,yes,yes,CF,,146x108x74,822,Oct 2008,[http://www.dxomark.com/index.php/en/Camera-Sensor/All-tested-sensors/Canon/EOS-50D][http://www.usa.canon.com/cusa/consumer/products/cameras/slr_cameras/eos_50d#Specifications]
,Canon,40D,APS-C,10.1," EF, EF-S",95,35,9,100,3200,64,703,6.5,3,yes,no,CF,,146x108x74,740,Aug 2007,[http://www.dxomark.com/index.php/en/Camera-Sensor/All-tested-sensors/Canon/EOS-40D]
,Canon,30D,APS-C,8.2," EF, EF-S",95,35,9,100,3200,59,736,5,2.5,no,no,CF,,144x106x74,785,Feb 2006,[http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Canon/EOS-30D] [http://usa.canon.com/cusa/support/professional/professional_cameras/eos_digital_slr_cameras/eos_30d?selectedName=Specifications]  [http://www.dpreview.com/reviews/canoneos30d/page2.asp]
,Canon,20D,APS-C,8.2," EF, EF-S",95,35,9,100,3200,62,721,5,1.8,no,no,CF,,144x106x72,770,Aug 2004,[http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Canon/EOS-20D] [http://www.dpreview.com/reviews/canoneos20d/page2.asp]
,Canon,10D,APS-C,6.3,EF,95,35,7,100,3200,57,571,3,1.8,no,no,CF,,150x107x75,790 (without battery),Feb 2003,[http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Canon/EOS-10D] [http://www.dpreview.com/reviews/canoneos10d/page2.asp]
,Canon,760D,APS-C,24," EF, EF-S",95,63,19,100,25600,70,915,5,3,yes,yes,SD,,132×101×78,565g,Feb 2015,
,Canon,750D,APS-C,24," EF, EF-S",95,63,19,100,25600,71,919,5,3,yes,yes,SD,,132×101×78,555g,Feb 2015,
,Canon,700D,APS-C,18.0," EF, EF-S",95,63,9,100,25600,61,681,5.0,3,yes,yes,SD,,134x100x79,580,Mar 2013,[http://www.dxomark.com/Cameras/Camera-Sensor-Database/Canon/EOS-700D][http://usa.canon.com/cusa/consumer/products/cameras/slr_cameras/eos_rebel_t5i_18_55mm_is_stm_lens_kit#Specifications]
,Canon,650D,APS-C,18.0," EF, EF-S",95,63,9,100,25600,62,722,5.0,3,yes,yes,SD,,134x100x79,575,Jun 2012,[http://www.dxomark.com/index.php/en/Camera-Sensor/All-tested-sensors/Canon/EOS-650D][http://www.usa.canon.com/cusa/consumer/products/cameras/slr_cameras/eos_rebel_t4i_18_135mm_kit#Specifications]
,Canon,600D,APS-C,18.0," EF, EF-S",95,63,9,100,12800,65,793,3.7,3,yes,yes,SD,,133x100x80,515 (without battery),Feb 2011,[http://www.dxomark.com/index.php/en/Cameras/Camera-Sensor-Database/Canon/EOS-600D][http://www.usa.canon.com/cusa/consumer/products/cameras/slr_cameras/eos_rebel_t3i_ef_s_18_55mm_is_kit#Specifications]
,Canon,550D,APS-C,18.0," EF, EF-S",95,63,9,100,12800,66,784,3.7,3,yes,yes,SD,,129x98x75,530,Feb 2010,[http://www.dxomark.com/index.php/en/Camera-Sensor/All-tested-sensors/Canon/EOS-550D][http://www.usa.canon.com/cusa/consumer/products/cameras/slr_cameras/eos_rebel_t2i_ef_s_18_55mm_is_kit#Specifications]
,Canon,500D,APS-C,15.1," EF, EF-S",95,35,9,100,12800,63,663,3.4,3,yes,yes,SD,,129x98x62,480 (without battery),Mar 2009,[http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Canon/EOS-500D][http://usa.canon.com/cusa/support/consumer/eos_slr_camera_systems/eos_digital_slr_cameras/eos_rebel_t1i#Specifications]
,Canon,450D,APS-C,12.2," EF, EF-S",95,35,9,100,1600,61,692,3.5,3,yes,no,SD,,129x98x62,475 (without battery),Jan 2008,[http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Canon/EOS-450D] [http://usa.canon.com/cusa/support/consumer/eos_slr_camera_systems/eos_digital_slr_cameras/eos_rebel_xsi?selectedName=Specifications]
,Canon,400D,APS-C,10.1," EF, EF-S",95,35,9,100,1600,62,664,3,2.5,no,no,CF,,127x95x65,510 (without battery),Aug 2006,[http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Canon/EOS-400D] [https://web.archive.org/web/20111127090542/http://www.usa.canon.com/cusa/support/consumer/eos_slr_camera_systems/eos_digital_slr_cameras/digital_rebel_xti#Specifications]
,Canon,350D,APS-C,8.0," EF, EF-S",95,35,7,100,1600,60,637,2.8,1.8,no,no,CF,,127x94x64,540 (485 without battery),Feb 2005,[http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Canon/EOS-350D] [https://web.archive.org/web/20111126090756/http://www.usa.canon.com/cusa/support/consumer/eos_slr_camera_systems/eos_digital_slr_cameras/digital_rebel_xt#Specifications]
,Canon,300D,APS-C,6.3," EF, EF-S",95,35,7,100,1600,55,544,2.5,1.8,no,no,CF,,142x99x72,694 (560 without battery),Aug 2003,[http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Canon/EOS-300D] [http://usa.canon.com/cusa/support/consumer/eos_slr_camera_systems/eos_digital_slr_cameras/digital_rebel#Specifications]
,Canon,100D,APS-C,18.0," EF, EF-S",95,63,9,100,25600,63,843,4,3,yes,yes,SD,,117x91x69,407 (370 without battery),Mar 2013,[http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Canon/EOS-100D] [http://usa.canon.com/cusa/consumer/products/cameras/slr_cameras/eos_rebel_sl1_18_55mm_is_stm_lens_kit#Specifications]
,Canon,1200D,APS-C,18.0," EF, EF-S",95,63,9,100,12800,63,724,3.0,3,yes,yes,SD,,130x100x78,480 (435 without battery),Feb 2014,[http://www.dxomark.com/index.php/en/Cameras/Camera-Sensor-Database/Canon/EOS-1200D][http://www.usa.canon.com/cusa/consumer/products/cameras/slr_cameras/eos_rebel_t5_18_55_is_ii_kit#Specifications]
,Canon,1100D,APS-C,12.2," EF, EF-S",95,63,9,100,6400,62,755,3,2.7,yes,yes,SD,,130x100x78,495,Feb 2011,[http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Canon/EOS-1100D][http://www.usa.canon.com/cusa/consumer/products/cameras/slr_cameras/eos_rebel_t3_18_55mm_is_ii_kit#Specifications]
,Canon,1000D,APS-C,10.1," EF, EF-S",95,35,7,100,1600,62,719,3,2.5,yes,no,SD,,126x98x62,502,Jun 2008,[http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Canon/EOS-1000D][http://www.usa.canon.com/cusa/consumer/products/cameras/slr_cameras/eos_rebel_xs_18_55is_kit#Specifications]
,Nikon,D5,Full frame,20.8,F-mount,100,180000,153,50,3280000,88,2434,12,3.2,yes,yes,SD (2x) or XQD (2x),2160p30,160x159x92,1405(with battery),Feb 2017,[https://imaging.nikon.com/lineup/dslr/d5/spec.htm]
,Nikon,D4,Full frame,16.2,F-mount,100,91000,51,50,204800,89,2965,11,3.2,yes,yes,CF + XQD,,160x157x91,1180 (without battery),Jan 2012,[http://www.dxomark.com/index.php/Publications/DxOMark-Reviews/Nikon-D4-review/Sensor-performance] [http://www.nikonusa.com/Nikon-Products/Product/Digital-SLR-Cameras/25482/D4.html#tab-ProductDetail-ProductTabs-TechSpecs]
,Nikon,D3X,Full frame,24.4,F-mount,100,1005,51,50,6400,88,1992,5,3,yes,no,CF (2x),,160x157x88,1220,Dec 2008,[http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Nikon/D3X][https://web.archive.org/web/20081202073617/http://www.nikonusa.com/Find-Your-Nikon/Product/Digital-SLR/25442/D3X.html]
,Nikon,D3S,Full frame,12.1,F-mount,100,1005,51,100,102400,82,3253,9,3,yes,yes,CF (2x),,160x157x88,1246,Oct 2009,[http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Nikon/D3s][https://web.archive.org/web/20100920074740/http://www.nikonusa.com/Find-Your-Nikon/Product/Digital-SLR/25466/D3S.html]
,Nikon,D850,Full frame,45.7,F-mount,100,180000,153,64,25600,100,2660,(9 with battery grip)7,3.2,yes,yes,CF + XQD,2160p30,146x124x79,1005,Oct 2017,[https://www.dxomark.com/Cameras/Nikon/D850]
,Nikon,D810,Full frame,36.3,F-mount,100,91000,51,64,51200,,,5,3.2,yes,yes,CF + SD,1920p60,146x123x82,980,,[https://imaging.nikon.com/lineup/dslr/d810/spec.htm]
,Nikon,D800,Full frame,36.3,F-mount,100,91000,51,50,25600,96 (D800E)95,2979 (D800E)2853,4,3.2,yes,yes,CF + SD,,145x122x82,900 (without battery),Feb 2012,[http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Nikon/D800] [http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Nikon/D800E] [http://www.nikonusa.com/Nikon-Products/Product/Digital-SLR-Cameras/25480/D800.html#tab-ProductDetail-ProductTabs-TechSpecs]
,Nikon,D750,Full frame,24,F-mount,100,91000,51,100,12800,93,2956,6.5,3.2,yes,yes,SD (x2),,141x113x78,840,Sept 2014,[https://www.dxomark.com/nikon-d750-sensor-review-another-nikon-sensor-in-the-dxomark-top-10/][https://www.nikonusa.com/en/nikon-products/product/dslr-cameras/d750.html]
,Nikon,D700,Full frame,12.1,F-mount,95,1005,51,100,25600,80,2303,5,3,yes,no,CF,,147x123x77,995,Jul 2008,[http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Nikon/D700][https://web.archive.org/web/20100830152350/http://www.nikonusa.com/Find-Your-Nikon/Product/Digital-SLR/25444/d700.html]
,Nikon,D600,Full frame,24.3,F-mount,100,2016,39,50,25600,94,2980,5.5,3.2,yes,yes,SD (x2),,141x113x82,760 (w/o battery),Sep 2012,[http://www.nikonusa.com/Nikon-Products/Product/Digital-SLR-Cameras/25488/D600.html] [http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Nikon/D600]
