Audio player,Lossy compression,,,,,,,,,| [[Lossless compression]],,,,,
,MP3,WMA,RealAudio,Vorbis,Musepack,AAC,Dolby AC-3,VQF,Opus,APE,FLAC,ALAC,SHN,WV,[[Windows Media Audio|WMA L]]
AIMP,yes,yes,no,yes,yes,yes,yes,name=through_winampAvailable through a Winamp plugin.,yes,yes,yes,yes,no,yes,yes
AmarokAmarok uses non-Amarok libraries to decode audio. It will play any file for which a codec is available on the system. The default libraries in Linux are from the VLC project.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes
Audacious,yes,yes,no,yes,yes,yes,yes,dunno,name=through_ffmpeg,yes,yes,yes,no,yes,dunno
Audion,yes,no,no,yes,no,no,no,dunno,dunno,no,no,no,no,no,dunno
Banshee,yes,dunno,dunno,yes,dunno,dunno,dunno,dunno,dunno,no,dunno,dunno,dunno,dunno,dunno
cmus,yes,name=through_ffmpegAvailable through a FFmpeg plugin.,no,yes,yes,yes,name=through_ffmpeg,dunno,name=through_opusfileAvailable through the opusfile plugin.,name=through_ffmpeg,yes,name=through_ffmpeg,name=through_ffmpeg,yes,dunno
Cog,yes,no,no,yes,yes,yes,no,dunno,dunno,yes,yes,yes,yes,yes,dunno
Exaile,name=through_gstreamerAvailable through a Gstreamer plugin.,name=through_gstreamer,name=through_gstreamer,name=through_gstreamer,name=through_gstreamer,name=through_gstreamer,name=through_gstreamer,dunno,yes,name=through_gstreamer,name=through_gstreamer,name=through_gstreamer,name=through_gstreamer,name=through_gstreamer,dunno
foobar2000,yes,yes,no,yes,yes,yes,name=plugin,no,yes,yes,yes,yes,yes,yes,yes
Groove Music,Yes,Yes,No,No,,Yes,Yes,,,,Yes,,,,
JRiver Media Center,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
JuK,yes,no,no,yes,yes,no,no,dunno,dunno,yes,yes,no,yes,no,dunno
Media Jukebox,yes,yes,yes,yes,yes,yes,yes,dunno,dunno,yes,yes,yes,yes,yes,dunno
MediaMonkey,yes,yes,no,yes,yes,name=autodlAvailable via plugins that can be automatically downloaded during installation.,name=autodl,dunno,no,yes,yes,yes,name=plugin,name=plugin,dunno
MPXPLAY,yes,yes,no,yes,yes,yes,yes,dunno,name=plugin,yes,yes,no,no,yes,dunno
Music Player Daemon,yes,name=through_ffmpeg,name=through_ffmpeg,yes,yes,yes,name=through_ffmpeg,name=through_ffmpeg,yes,name=through_ffmpeg,yes,yes,name=through_ffmpeg,yes,dunno
MusicBee,yes,yes,no,yes,yes,yes,yes,name=through_winamp,yes,yes,yes,yes,name=through_winamp,yes,yes
Musicmatch Jukebox,yes,yes,no,no,no,no,no,dunno,dunno,no,no,no,no,no,dunno
musikCube,yes,name=autodl,no,yes,name=autodl,name=autodl,name=autodl,dunno,dunno,yes,yes,no,no,name=autodl,dunno
Quod Libet,name=through_gstreamer,name=through_gstreamer,name=through_gstreamer,name=through_gstreamer,name=through_gstreamer,name=through_gstreamer,name=through_gstreamer,dunno,yes,name=through_gstreamer,name=through_gstreamer,name=through_gstreamer,name=through_gstreamer,name=through_gstreamer,dunno
Rhapsody,yes,yes,yes,no,no,yes,no,dunno,dunno,no,no,no,no,no,dunno
Rhythmbox,name=through_gstreamer,name=through_gstreamer,name=through_gstreamer,name=through_gstreamer,name=through_gstreamer,name=through_gstreamer,name=through_gstreamer,dunno,name=through_gstreamer,name=through_gstreamer,name=through_gstreamer,name=through_gstreamer,name=through_gstreamer,name=through_gstreamer,dunno
Sonique,yes,yes,no,yes,name=autodl,name=autodl,no,dunno,dunno,no,no,no,no,no,dunno
Spotify,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Style Jukebox,yes,yes,no,no,no,yes,no,no,no,no,yes,yes,no,no,yes
Winamp,yes,yes,name=plugin,yes,name=plugin,yes,dunno,dunno,dunno,dunno,yes,dunno,dunno,name=plugin,dunno
XMMS,yes,name=autodl,name=autodl,name=autodl,yes,yes,no,name=plugin,dunno,name=autodl,yes,no,name=autodl,yes,dunno
XMPlay,yes,name=plugin,name=plugin,yes,name=plugin,name=plugin,name=plugin,dunno,name=plugin,name=plugin,name=plugin,name=plugin,name=plugin,name=plugin,dunno
Zinf,yes,no,no,yes,no,no,no,dunno,dunno,no,no,no,no,no,dunno
Audio player,MP3,WMA,RealAudio,Vorbis,Musepack,AAC,Dolby AC-3,VQF,Opus,APE,FLAC,ALAC,SHN,WV,WMA L
