[ Name
, Creator
, Host CPU
, Guest CPU
, Host OS
, Guest OS
, License
],
| [[FreeBSD]],| x86-64,| [[x86]] x86-64,| [[FreeBSD]] [[Illumos]],| [[FreeBSD]] [[FreeNAS]] [[pfSense]] [[OpenBSD]] [[Linux]] [[Windows]] [[Illumos]]ref name="bhyve1" /,| {{free|[[BSD licenses|BSD]]}},
| Kevin J. Lawton,| Any,| [[x86]] x86-64,| [[Windows]] [[Linux]] [[FreeBSD]] [[Unix]]/[[X Window System|X11]] {{nowrap|[[Mac OS 9]]}} [[macOS]] [[BeOS]] [[MorphOS]] [[OS/2]]ref name="bochs1" /ref name="bochs2" /,| [[Windows]] [[Linux]] [[DOS]] [[Berkeley Software Distribution|BSD]] [[OS/2]] [[Haiku (operating system)|Haiku]],| {{free|[[LGPL]]}},
| [[Sun Microsystems]],| x86 x86-64 [[SPARC]] (portable: not tied to hardware),| Same as host,| [[Solaris (operating system)|Solaris 10 Solaris 11]] [[OpenSolaris]] 2009.06 [[Illumos#Current distributions|illumos distributions]],| Solaris (8 9 10 11) [[illumos]] Linux ([[branded zones|BrandZ]]),| {{free|[[CDDL]]}},
| [[Dan Aloni]] other developers,| x86,| Same as host,| Windows 2000 XP 2003 Vista,| Linux,| {{free|[[Gpl version 2|GPL version 2]]}},
| [[Stromasys]],| x86 x86-64,| [[PDP-11]] [[VAX]] Alpha [[HP3000]] Sparc,| Windows Linux,| VMS OpenVMS Tru64 UNIX MPE/iX RSX-11 RT11 RSTS Solaris SunOS,| {{Proprietary}},
| [[University of Washington]],| x86,| x86,| Denali,| [[Ilwaco (operating system)|Ilwaco]] NetBSD,| {{unk|Not distributed}},
| Peter Veenstra Sjoerd with community,| Any,| x86,| Linux Windows [[classic Mac OS]] macOS BeOS FreeBSD NetBSD OpenBSD Solaris [[QNX]] IRIX MorphOS AmigaOS [[Maemo]] Symbian,| Internally emulated DOS shell; classic [[PC booter]] games unofficially Windows 1.0 to 98,| {{free|[[GPL]]}},
| Community project,| x86 x86-64,| x86,| Linux,| DOS,| {{free|[[Gpl version 2|GPL version 2]]}},
| [[Poul-Henning Kamp]] / [[FreeBSD]],| Any running [[FreeBSD]] or [[DragonFly BSD]],| Same as host,| [[FreeBSD]] [[DragonFly BSD]],| same as host (shared *BSD kernel) plus [[Linux]] [[Application binary interface|ABI]] through [[FreeBSD#OS compatibility layers|compat layer]],| {{free|[[BSD licenses|BSD]]}},
| [[GNOME]],| ,| ,| Unix-like,| Unix-like,| {{free|[[GNU Lesser General Public License|LGPLv2]]}},
| Anders Gavare,| Any,| [[ARM architecture|ARM]] [[MIPS architecture|MIPS]] [[Motorola 88000]] PowerPC [[SuperH]],| Unix-like,| [[NetBSD]] [[OpenBSD]] [[Linux]] [[Ultrix]] [[Sprite (operating system)|Sprite]],| {{free|[[BSD licenses|BSD]]}},
| Roger Bowler,| Any,| [[z/Architecture]],| [[Windows]] [[FreeBSD]] [[NetBSD]] [[Linux]] [[macOS]],| [[Linux on IBM Z]] [[z/OS]] [[z/VM]] [[z/VSE]] [[OS/360]] [[DOS/360]] [[DOS/VS]] [[MVS]] [[VM/370]] [[TSS/370]],| {{free|[[Q Public License|QPL]]}},
| [[Microsoft]],| x86-64 with [[Intel VT-x]] or [[AMD-V]],| x86-64 x86 (up to 8 physical CPUs),| [[Windows Server 2008]] ([[Windows Server 2008 R2|R2]]) w/Hyper-V role Microsoft Hyper-V Server,| Supported drivers for [[Windows 2000]] [[Windows 2003]] [[Windows 2008]] [[Windows XP]] [[Windows Vista]] [[FreeBSD]] [[Linux]] ([[SUSE Linux|SUSE]] 10 released more announced),| {{Proprietary}},
| [[Microsoft]],| x86-64 with Intel VT-x or AMD-V!--RemoteFX requires SLAT which is independent of the previous. -- ARMv8,| x86-64 (up to 64 physical CPUs) ARMv8,| [[Windows 8]] 8.1 10 and [[Windows Server 2012]] ([[Windows Server 2012 R2|R2]]) w/Hyper-V role Microsoft Hyper-V Server,| Supported drivers for [[Windows NT]] FreeBSD Linux ([[SUSE Linux|SUSE]] 10 [[Red Hat Enterprise Linux|RHEL]] 6 [[CentOS]] 6),| {{Proprietary}}. Component of various Windows editions.,
| [[ICore Networks|iCore Software]],| x86,| x86,| Windows XP,| Windows XP,| {{Proprietary}},
