Model,Launch,Code name,Fab (nm),Bus interface,Core clock (MHz),Memory clock (MHz),Core config1,Fillrate,,,,|Memory,,,,|[[Application programming interface|API]] support,
,,,,,,,,MOperations/s,MPixels/s,MTexels/s,MVertices/s,Size ([[Megabyte|MB]]),Bandwidth ([[Gigabyte|GB]]/s),Bus type,Bus width ([[bit]]),[[Direct3D]],[[OpenGL]]
STG-2000,September 1995,NV1,SGS 500 nm,PCI,12,75,1:1:1,12,12,12,0,24,0.6,EDOVRAM,64,n/a,n/a
Riva 128,April 1997,NV3,SGS 350 nm,"AGP 1×, PCI",100,100,,100,100,100,,4,1.6,SDR,128,|5.0,|1.0
Riva 128ZX,"February 23, 1998",,SGS/TSMC 350 nm," AGP 2×, PCI",,,,,,,,8,1.6,,,,
Riva TNT,"June 15, 1998",NV4,TSMC 350 nm,,90,110,2:2:2,180,180,180,,816,1.76,,,|6.0,|1.2
Vanta,"March 22, 1999",NV6,TSMC 250 nm,AGP 4×,100,125,,200,200,200,,16,1,,,,,|64
Vanta LT,March 2000,,,,80,100,,160,160,160,,8<br />16,0.8,,,,,
Riva TNT2 M64,October 1999,,," AGP 4×, PCI",125,150,,250,250,|250,,8, 16<br />32,1.2,,,,,
Riva TNT2,"March 15, 1999",,,,,,,,,,,|NV5,16<br />32,2.4,|128
Riva TNT2 Pro,"October 12, 1999",,,,,,,,,,,,TSMC 220 nm,|AGP 4×,,143,166,286,286,286,32,,2.656
Riva TNT2 Ultra,"March 15, 1999",,,,,,,,,,,,TSMC 250 nm,,,150,183,300,300,300,16<br />32,,2.928
