Format,Languages
IF string12 THEN -1 ELSE ABS (string1>string2) FI,ALGOL 68
" cmp(string1, string2)",Python 2
(string1 > string2) - (string1 2),Python
" strcmp(string1, string2)","C, PHP"
" std.string.cmp(string1, string2)",D
" StrComp(string1, string2)","VB, Delphi)"
string1 cmp string2,"Raku"
string1 compare: string2,"Smalltalk (Squeak, Pharo)"
string1  string2,Ruby
string1.compare(string2),"Swift (Foundation)"
" compare(string1, string2)","Rexx, Seed7"
" CompareStr(string1, string2)","Pascal, Delphi)"
string1.compareTo(string2),"Cobra, Java"
string1.CompareTo(string2),"VB .NET, C#, F#"
(compare string1 string2),Clojure
(string= string1 string2),Common Lisp
(string-compare string1 string2 p),Scheme (SRFI 13)
(string= string1 string2),ISLISP
compare string1 string2,OCaml
" String.compare (string1, string2)",Standard ML
compare string1 string2,Haskell
" [string]::Compare(string1, string2)",Windows PowerShell
[string1 compare:string2],Objective-C (NSString * only)
" LLT(string1,string2)  LLE(string1,string2)  LGT(string1,string2)  LGE(string1,string2) ",Fortran
string1.localeCompare(string2),JavaScript
" bytes.Compare([]byte(string1), []byte(string2))",Go
string compare ?-nocase? ?-length int? string1 string2,Tcl
" compare(string1,string2,count)",PL/I
