Feature,VC-1,H.264
Partition sizes,16×16 and 8×8," 16×16, 16×8, 8×16, 8×8, 8×4, 4×8, and 4×4 "
Integer transform," 8×8, 4×8, 8×4, and 4×4 ",4×4; 8×8 available in High Profile only
Frame,,
Macroblock sizes,,
Motion vector,,
Picture,,
Skipped macroblock,,
