" scope=""col"" width=""5em"" ",Austria,Belgium,CzechRepublic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Luxembourg,Netherlands,Norway,Poland,Portugal,Romania,Russia ;Belarus,Slovakia,Slovenia,Spain,Sweden,Switzerland ;Liechtenstein,Turkey,Ukraine,UnitedKingdom
" scope=""col""  Proceed straight  (no turns)",60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px
" scope=""col""  Turn right",60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,,NOT  USED,60px,60px(in front of sign),60px,60px,NOT  USED,60px,60px,60px,60px,60px,60px,NOT  USED,60px
" scope=""col""  Turn right ahead",60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px (behind of sign),60px,60px,60px,NOT  USED,60px,60px,60px,60px,60px,60px,60px
" scope=""col""  Proceed straight or turn right",60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,NOT  USED,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,NOT  USED
" scope=""col""  Pass on this side",60px,60px,60px,60px,60px,60px,60px  or  50px,60px,60px,60px  or  60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px
" scope=""col""  Pass on either side",,60px,60px,60px,60px,60px,,,60px,60px,60px,60px,60px,,60px,60px,60px,NOT  USED,60px,60px,60px,,60px,60px,30px30px,60px,60px,60px
" scope=""col""  Roundabout",NOT  USED,60px,60px,60px,60px,60px,,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px
" scope=""col""  Mandatory direction for vehicles carrying dangerous goods",60px,60px,NOT  USED,,60px,NOT  USED,60px,NOT  USED,,60px,"  rowspan=""3""  NOT  USED",,60px,,NOT  USED,NOT  USED,60px,NOT  USED,60px,60px,60px,60px,,60px,60px,[[File:Turkey road sign TT-43b.svg|60px]],[[File:Ukraine road sign 4.18.1.gif|60px]],style="background: #E0E0E0;" |<span style="color:#cc111a;">NOT <br/> USED</span>
" scope=""col""  Minimum speed limit",60px,NOT  USED,60px,60px,60px,,60px,60px,60px,60px,60px,,60px,,,60px,60px,60px,60px,60px,60px,60px,NOT  USED,60px,[[File:Turkish road sign 75.jpg|60px]],[[File:Ukraine road sign 4.16.gif|60px]],[[File:UK traffic sign 672.svg|60px]]
" scope=""col""  Minimum speed limit ends",60px,,60px,60px,60px,,60px,60px,60px,60px,60px,,60px,,,60px,60px,60px,60px,60px,60px,60px,,[[File:CH-Vorschriftssignal-Ende der Mindestgeschwindigkeit.svg|60px]],[[File:Turkey road sign TT-41b-30.svg|60px]],[[File:Ukraine road sign 4.17.gif|60px]],[[File:UK traffic sign 673.svg|60px]]
" scope=""col""  Bicycles only",60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px
" scope=""col""  Pedestrians only",60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,NOT  USED
" scope=""col""  Shared use path",60px,60px,60px,60px,60px,60px,,60px,60px,60px,60px,60px,60px,60px,,60px,60px,60px,60px,60px,60px,60px,,60px,60px,,60px,60px
" scope=""col""  Equestrian path",60px,60px,60px,60px,60px,60px,60px,60px,60px,NOT  USED,60px,NOT  USED,60px,60px,60px,NOT  USED,,60px,,60px (Belarus),60px,60px,60px,60px,60px,60px,60px,style="background: #E0E0E0;" |<span style="color:#cc111a;">NOT <br/> USED</span>
" scope=""col"" width=""5em"" ",Austria,Belgium,Czech  Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Luxembourg,Netherlands,Norway,Poland,Portugal,Romania,Russia   ;  Belarus,Slovakia,Slovenia,Spain,Sweden,Switzerland ;Liechtenstein,Turkey,Ukraine,United  Kingdom
