Methods and properties,Java,C#
Static imports,yes,yes
Virtual methods,Virtual by default,Non-Virtual by default
Abstract,yes,yes
Sealing,yes,yes
Explicit interface implementation,Default methods,yes
Value (input) parameters,yes,yes
Reference (input/output) parameters,no,yes
Output (output) parameters,no,yes
Constant (immutable) parameters,yes; final parameters,yes
Variadic methods,yes,yes
Optional arguments,no; Instead method overloading or varargs,yes
Named arguments,no,yes
Generator methods,no,yes
Extension/default methods,yes,yes
Conditional methods,no,yes
Partial methods,no,yes
