Archive format,Built-in compression,Self-extracting,Directory Structure,POSIX attributes,ACLs,Alternate data streams
cpio,c11,no,yes,yes,no,dunno
tar,c11,no,yes,yes,some,(in Solaris implementation)
dar,c33,no,yes,yes,yes,yes
ar,no,no,no,yes,no,dunno
pax,no,no,yes,yes,yes,dunno
dump,c11,no,yes,yes,yes,dunno
shar,no,yes,yes,yes,no,dunno
makeself,yes,yes,yes,yes,yes,dunno
zip,yes,c22,yes,no,dunno,dunno
rar,yes,c22,yes,no,dunno,yes
ace,yes,dunno,yes,no,dunno,dunno
arj,yes,c22,yes,no,no,dunno
zoo,yes,dunno,yes,no,dunno,dunno
ISO 9660 (CD-ROM),c11,no,yes,(with Rock Ridge extension),no,dunno
cab,yes,c22,dunno,no,dunno,dunno
rpm,yes,no,yes,yes,dunno,dunno
deb,yes,no,yes,yes,dunno,dunno
7z,yes,yes,yes,yes,dunno,dunno
Archive format,Built-in compression,Self-extracting,Directory Structure,POSIX attributes,ACLs,Alternate data streams
