BitTorrent library,First public release date,Latest stable,Software license
libtorrent (Rasterbar),df=yes20050908,Latest stable software release/libtorrent,Free software
MonoTorrent,df=yes200609,Latest stable release/MonoTorrent,Free software
rTorrent (libTorrent Rakshasa),df=yes20040715,Latest stable software release/rTorrent,Free software
BitTorrent library,First public release date,Latest stable,Software license
