Card,Varieties,Max storage capacity (nom. in GiB),Theoretical max. capacity (nom. in GiB),Max read speed (MB/s),Max write speed (MB/s),Read-write cycles,Low-level access,Operating voltage (V),Controller chip,# of pins
CompactFlash,I,512," data-sort-value=""134217728""  128 PiB",167,,NOR/NAND,3.3 and 5,yes,50
,II,12," data-sort-value=""134217728""  128 PiB(134,217,728 GiB)",167,167,,,,,
SmartMedia,,"data-sort-value=""0.125"" 128 MiB(0.125 GiB)",,2,," 1,000,000",NAND,3.3 or 5,no,22
MMC,MMC,8,128,2,2,"  1,000,000",,3.3,yes,7
,RS-MMC,2,,2,2,,,3.3,,7
,MMCmobile,2,,15,8,,,1.8 and 3.3,,13
,MMCplus,4,,52,52,,,3.3,,13
,MMCmicro,2,,,,,,1.8 and 3.3,,10
,eMMC,,"data-sort-value=""2048"" 2 TiB(2048 GiB)",104,104,,,1.8 and 3.3,{{yes}},Varies
Secure Digital,SD (SDSC),512,4,25,25,,,3.3,yes,9
,miniSD,8,,25,25,,,,,11
,microSD,4,,25,25,,,,,8
,SDHC,32," data-sort-value=""2048"" 32",104 (UHS-I),104 (UHS-I),,1.8 and 3.3,yes,9
,miniSDHC,4,,104 (UHS-I),104 (UHS-I),,,,11
,microSDHC,32,,104 (UHS-I),104 (UHS-I),,,,8
,SDXC,512," data-sort-value=""2048""  2 TiB(2048 GiB)",104 (UHS-I),104,,2.7–3.6,yes,9
,microSDXC,1 TiB,,104 (UHS-I),104 (UHS-I),,,,8
Memory Stick,Standard," data-sort-value=""0.125""  128 MiB(0.125 GiB)"," data-sort-value=""0.125""  128 MiB(0.125 GiB)",2.5,1.8,,3.3,yes,10
,PRO,4," data-sort-value=""2048""  2 TiB(2048 GiB)",20,20,,3.3,,
,PRO Duo,32,,20,20,,3.3,,
,PRO-HG Duo,32,,30 (actual; theoretical: 60),30 (actual; theoretical: 60),,3.3,,
,Micro (M2),16,32,20,20,,1.8 and 3.3,,
,xC,," data-sort-value=""2048""  2 TiB(2048 GiB)",60,60,,3.3,,
xD,," data-sort-value=""0.5""  512 MiB(0.5 GiB)"," data-sort-value=""0.5""  512 MiB(0.5 GiB)",5,3,,3.3,no,18
,Type M,2,8,4,2.5,,,,
,Type H,2,8,5,4,,,,
,Type M+,2,8,6,3.75,,,,
XQD,,64," data-sort-value=""2.001""  2+ TiB(2+ GiB)",168,168,,5,,
USB,Full speed (USB 1),2048(2 TiB),No hardware limit,1,1,,5,yes,4
,High speed (USB 2.0),,,40,40,,,,
,Super speed (USB 3.0),,,240,160,,,,
