Company,Software,On-demand scan,On-access scan,Firewall,Email security,AntiSpam,Web protection,Live-Update,Support,License,Price,First release,Country of origin,Notes
align=leftCisco,Clam AntiVirus,Yes,Yes,No,No,No,No,Yes,No,GPL-lic,Free,1998,United States,
align=leftFRISK Software International,F-PROT Antivirus,Yes,Yes,No,Yes,No,No,Yes,Yes,Proprietary,Trialware,1989,Iceland,
align=leftPanda Security,Panda DesktopSecure for Linux,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Proprietary,dunno,2009,Spain,
align=leftSophos,Sophos AntiVirus for Unix,Yes,No,No,Yes,Yes,No,Yes,Yes,Proprietary,Trialware,-,UK,Central management
Company,Software,On-demand scan,On-access scan,Firewall,Email security,AntiSpam,Web protection,Live-Update,Support,License,Price,First release,Country of origin,Notes
