Name,Online sync,Blind support,Wild cards,Suggestions,W/O diacritics,Full text search,Inflection search,Word context,History,Microsoft Windows,Linux,Mac OS,Android,Windows Phone,Software needs,Storage needs MB,Author,License
[http://www.tranzactiibursiere.ro/maestro Maestro DEX],yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no," Perl, wxWidgets, only on Linux",490,Octavian Râşniţă,GPL
[http://pydex.lemonsoftware.eu PyDEX],yes,no,no,no,yes,yes,yes,no,yes,yes,yes,yes,no,no,wxPython,250,Cristian Năvălici,GPLv3
[http://dixit.sourceforge.net Dixit],yes,no,yes,yes,no,no,no,no,yes,yes,yes,no,no,no," QT, g++, only on Linux",48,Octavian Procopiuc,GPL
[http://dex.adrianvintu.com DEX pentru Android],no,no,yes,yes,no,no,yes,yes,yes,no,no,no,yes,no,,3,[http://adrianvintu.com Adrian Vintu],Freeware
[http://dex-wp.adrianvintu.com DEX pentru Windows Phone],no,no,yes,no,no,no,yes,no,yes,no,no,no,no,yes,,1,[http://adrianvintu.com Adrian Vintu],Freeware
