Model,Launch,Micro-archi-tecture,Code name,Fab (nm),Bus interface,Clock rate,,Core config1,Fillrate,,Memory,,,,|Processing power<br />([[GFLOPS]]),,|[[Application programming interface|API]] compliance (version),,,,|TDP (Watts),|Notes,
,,,,,,Core (MHz),Memory (MHz),,Pixel (GP/s),Texture (GT/s),Size (GiB),Bandwidth (GB/s),Bus type,Bus width ([[bit]]),[[Single precision floating-point format|Single precision]],[[Double precision floating-point format|Double precision]],[[Direct3D]],[[OpenGL]],[[OpenCL]],[[Vulkan (API)|Vulkan]],,
FirePro V3900,"February 7, 2012",TeraScale 2,Turks GL,40,PCIe 2.1 x16,650,900,480(96×5):24:8:6,5.2,15.6,1,28.8,GDDR3,128,624,-,11.0,4.3,1.2,N/A,50," HD3D, UVD3, DP 1.2, PowerPlay, Eyefinity"
FirePro V4900,"November 1, 2011",,Turks XT GL,,,800,1000,,6.4,19.2,,|64,|[[GDDR5]]<sup>2</sup>,,768,,,,,,|<75 Max,
FirePro V5900," May 24, 2011",TeraScale 3,Cayman LE GL,,,600,5002,512(128×4):32:32:8,19.2,,,,,|2,|256,,,,,,,,610,154
FirePro V7900,,,Cayman Pro GL,,,725,12502,1280(320×4):80:32:20,23.2,,,,,,,58,160,1860,464,<150 Max,
